"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          16,      -3.707333521,      -3.875156695,      -3.830698473,      -3.134401807,             0.448,    0.009355280142,     0.05109147817,                 0,                 0,                 0,    -0.02581269427,    0.008238499116,     0.05128340415,                 0,       5.461245136
          0,           0,          17,      -3.720090587,       -3.87582988,       -3.85387689,      -3.148207715,             0.448,    0.006713695557,     0.05130414109,                 0,                 0,                 0,    -0.02600925815,    0.005592903939,     0.05143839059,                 0,       7.641713964
          0,           0,          18,       -3.73490022,      -3.873215904,       -3.87764557,      -3.164923641,             0.448,     0.00412322486,     0.05156381441,                 0,                 0,                 0,    -0.02620116678,    0.002997384961,      0.0516414913,                 0,       12.50570031
          0,           0,          19,      -3.752613439,       -3.87187395,      -3.903949759,         -3.184472,             0.448,    0.001618989382,     0.05170523407,                 0,                 0,                 0,    -0.02646357969,   0.0004906603689,     0.05172824769,                 0,       31.93673452
          0,           0,          20,      -3.773972362,      -3.876157211,      -3.934459786,      -3.207070509,             0.448,  -0.0007285745917,     0.05163888828,                 0,                 0,                 0,    -0.02681469937,   -0.001854897622,     0.05161070585,                 0,      -70.87659776
          0,           0,          21,      -3.797421399,      -3.887255002,       -3.96842128,      -3.231044203,             0.448,   -0.002810714099,     0.05155866242,                 0,                 0,                 0,    -0.02716138342,   -0.003934791518,     0.05148507745,                 0,      -18.34361682
          0,           0,          22,      -3.820311293,      -3.903497628,       -4.00240875,      -3.253907541,             0.448,   -0.004520073449,     0.05171108425,                 0,                 0,                 0,    -0.02742934985,   -0.005647069152,     0.05160017353,                 0,      -11.44031946
          0,           0,          23,      -3.841580672,      -3.922028586,      -4.032792075,      -3.274825509,             0.448,   -0.005779808671,     0.05220603954,                 0,                 0,                 0,    -0.02760872745,   -0.006917301984,     0.05206753006,                 0,      -9.032485764
          0,           0,          24,      -3.861341149,      -3.940421921,      -4.058376675,      -3.294081162,             0.448,   -0.006518541604,     0.05326690317,                 0,                 0,                 0,    -0.02763104641,   -0.007679001736,     0.05311202585,                 0,      -8.171598252
          0,           0,          25,      -3.880642802,      -3.958181964,      -4.080750607,      -3.312888484,             0.448,   -0.006743691994,     0.05469149096,                 0,                 0,                 0,    -0.02760968062,   -0.007935175766,       0.054531363,                 0,      -8.110022078
          0,           0,          26,       -3.90088581,      -3.976853513,      -4.102144916,       -3.33275787,             0.448,   -0.006484254204,     0.05631253758,                 0,                 0,                 0,    -0.02763218684,    -0.00771116266,     0.05615768346,                 0,      -8.684504926
