"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,          74,      -7.333732939,      -7.376295651,      -7.858910896,      -6.621207649,     0.03515655679,      0.6575733087,                 0,                 0,     0.02252370667
          0,           0,          75,      -7.400134858,      -7.433852052,      -7.927211957,      -6.682833646,     0.03515648195,       0.657572275,                 0,                 0,     0.02252365429
          0,           0,          76,      -7.469445515,      -7.493035558,      -7.990586083,      -6.747205315,      0.0351564677,      0.6575721067,                 0,                 0,     0.02252379053
          0,           0,          77,      -7.546560361,      -7.554024083,      -8.059414618,      -6.821316415,     0.03515648434,      0.6575723542,                 0,                 0,      0.0225239873
          0,           0,          78,      -7.633323611,      -7.618534198,      -8.136940238,       -6.90520596,     0.03515653985,      0.6575730282,                 0,                 0,     0.02252428694
          0,           0,          79,      -7.733025405,      -7.686821228,      -8.218551973,      -7.002294313,     0.03515660497,      0.6575738461,                 0,                 0,     0.02252459208
          0,           0,          80,      -7.845626369,       -7.75975385,       -8.30075533,      -7.112436758,     0.03515663677,      0.6575742626,                 0,                 0,     0.02252471725
          0,           0,          81,      -7.958451342,       -7.83297188,      -8.371838766,       -7.22860857,     0.03515669086,      0.6575749484,                 0,                 0,     0.02252494515
          0,           0,          82,       -8.07520243,      -7.911658612,      -8.444166631,       -7.34697485,     0.03515675434,      0.6575758118,                 0,                 0,     0.02252522752
          0,           0,          83,      -8.190993123,      -7.992539342,      -8.512967435,       -7.46299221,     0.03515679138,       0.657576314,                 0,                 0,     0.02252537138
          0,           0,          84,      -8.285430389,      -8.067206377,       -8.57309663,      -7.567742484,     0.03515684152,      0.6575769686,                 0,                 0,     0.02252557621
          0,           0,          85,      -8.369561635,        -8.1454275,      -8.644437444,      -7.658275621,     0.03515690787,      0.6575778504,                 0,                 0,     0.02252584843
          0,           0,          86,      -8.432982656,      -8.221413804,      -8.708848907,      -7.722893073,     0.03515695456,      0.6575784758,                 0,                 0,     0.02252602772
          0,           0,          87,      -8.473701668,      -8.287044444,      -8.761538466,      -7.776774042,     0.03515700761,      0.6575791633,                 0,                 0,     0.02252623072
          0,           0,          88,      -8.491316529,      -8.348749748,      -8.815171647,       -7.79616866,     0.03515707136,      0.6575800054,                 0,                 0,     0.02252648173
          0,           0,          89,       -8.48706845,      -8.398557928,      -8.846490492,      -7.784714484,     0.03515711665,      0.6575806031,                 0,                 0,     0.02252664587
          0,           0,          90,      -8.494163439,      -8.441686118,      -8.869959317,      -7.800826521,     0.03515716875,       0.657581294,                 0,                 0,     0.02252683995
