"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         117,       -6.97040356,       -6.38194053,      -7.024557971,      -7.071305085,      -6.363601988,      -9.563181034
          0,           0,         118,      -6.975131268,      -6.385518672,      -7.034272802,      -7.081776082,      -6.368585455,      -9.562435262
          0,           0,         119,      -6.980062748,      -6.389224323,      -7.043895932,      -7.092166661,      -6.373610617,      -9.561684721
          0,           0,         120,      -6.985384186,      -6.393054973,      -7.053367258,      -7.102352315,      -6.378857718,      -9.560939449
          0,           0,         121,      -6.991242811,      -6.397002632,      -7.062643996,      -7.112225953,       -6.38449015,      -9.560207154
          0,           0,         122,      -6.997740677,      -6.401049607,      -7.071711441,      -7.121719978,      -6.390643833,      -9.559498673
          0,           0,         123,      -7.004929333,      -6.405172534,      -7.080588237,      -7.130822834,      -6.397416037,      -9.558810731
          0,           0,         124,      -7.012811733,      -6.409397004,      -7.089326871,       -7.13958725,      -6.404859509,      -9.558147773
          0,           0,         125,      -7.021348876,      -6.413668468,      -7.098006516,       -7.14812035,      -6.412981746,      -9.557512225
          0,           0,         126,      -7.030454568,      -6.417960903,      -7.106722882,      -7.156567498,      -6.421734271,        -9.5569063
          0,           0,         127,      -7.040006341,      -6.422248744,      -7.115575042,       -7.16508769,      -6.431018906,      -9.556329923
          0,           0,         128,      -7.049853309,      -6.426504427,      -7.124650497,       -7.17383237,      -6.440693376,      -9.555781631
          0,           0,         129,      -7.059827173,      -6.430700087,      -7.134015915,      -7.182926539,      -6.450582519,      -9.555260205
          0,           0,         130,      -7.069749844,      -6.434809438,      -7.143709788,       -7.19245482,      -6.460488626,      -9.554764454
          0,           0,         131,      -7.079446206,      -6.438809388,      -7.153738232,      -7.202453443,      -6.470208083,      -9.554291687
          0,           0,         132,      -7.088737917,      -6.442681027,      -7.164075014,      -7.212910408,      -6.479529913,      -9.553836474
          0,           0,         133,      -7.097498286,      -6.446410741,      -7.174666314,      -7.223770395,      -6.488300765,      -9.553394728
          0,           0,         134,      -7.105613082,      -6.449990641,      -7.185438246,      -7.234935888,      -6.496386156,      -9.552962773
          0,           0,         135,      -7.112998728,       -6.45341868,      -7.196305724,      -7.246292396,      -6.503695362,      -9.552538114
          0,           0,         136,       -7.11958625,      -6.456698327,       -7.20718154,      -7.257720148,      -6.510165602,      -9.552118367
          0,           0,         137,      -7.125348002,      -6.459837957,      -7.217988132,      -7.269116119,       -6.51578888,      -9.551700869
          0,           0,         138,      -7.130311092,      -6.462850214,      -7.228664411,      -7.280392304,      -6.520620404,      -9.551283184
          0,           0,         139,      -7.134512924,      -6.465751035,      -7.239170344,      -7.291482279,      -6.524725034,       -9.55086542
          0,           0,         140,      -7.138007897,      -6.468558668,      -7.249489669,       -7.30236388,      -6.528181912,      -9.550446267
          0,           0,         141,       -7.14088861,      -6.471292898,      -7.259627968,      -7.313060261,      -6.531101768,      -9.550024731
          0,           0,         142,      -7.143255871,       -6.47397432,      -7.269606287,      -7.323619599,      -6.533592575,      -9.549600843
          0,           0,         143,      -7.145226053,      -6.476623701,      -7.279453831,      -7.334104372,      -6.535766701,      -9.549174885
          0,           0,         144,      -7.146924507,      -6.479261039,       -7.28920103,      -7.344579176,      -6.537735468,      -9.548746482
          0,           0,         145,      -7.148483566,      -6.481904937,      -7.298871323,      -7.355097138,      -6.539610364,      -9.548314647
          0,           0,         146,      -7.150034215,      -6.484571926,      -7.308476109,      -7.365691682,      -6.541497925,      -9.547879189
          0,           0,         147,      -7.151699695,      -6.487275895,      -7.318011752,      -7.376370658,      -6.543496924,      -9.547442078
          0,           0,         148,      -7.153589766,      -6.490027539,       -7.32746055,      -7.387115372,      -6.545695611,      -9.547005659
          0,           0,         149,      -7.155797139,      -6.492834189,      -7.336794134,       -7.39788374,      -6.548170296,      -9.546573067
          0,           0,         150,      -7.158393623,      -6.495699639,       -7.34597857,      -7.408618329,      -6.550982435,      -9.546145835
          0,           0,         151,      -7.161427831,      -6.498623924,      -7.354981283,      -7.419256474,      -6.554176795,      -9.545726057
          0,           0,         152,      -7.164924191,      -6.501603684,      -7.363777324,      -7.429741444,      -6.557780151,      -9.545316119
          0,           0,         153,      -7.168882574,      -6.504632685,      -7.372354239,      -7.440032001,      -6.561800003,        -9.5449185
          0,           0,         154,      -7.173278076,       -6.50770121,      -7.380715381,      -7.450111501,      -6.566222731,      -9.544534753
          0,           0,         155,      -7.178065046,      -6.510797446,      -7.388880522,       -7.45999283,      -6.571015845,       -9.54416621
          0,           0,         156,       -7.18317792,      -6.513907978,      -7.396884279,      -7.469716521,      -6.576126896,      -9.543814275
          0,           0,         157,      -7.188536162,      -6.517018181,      -7.404771963,      -7.479346567,      -6.581486695,       -9.54347947
          0,           0,         158,      -7.194047223,      -6.520112888,      -7.412593588,      -7.488960145,      -6.587010938,      -9.543163058
          0,           0,         159,      -7.199611395,      -6.523177088,      -7.420397374,      -7.498637693,      -6.592604312,       -9.54286568
