+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         139|  2.2371e-01|   -6.762541|   -9.222258|    1.181846|    0.037838|    0.007219|
|         140|  2.2359e-01|   -6.752710|   -9.210490|    1.178003|    0.036887|    0.006173|
|         141|  2.2348e-01|   -6.745495|   -9.197783|    1.174488|    0.036070|    0.005323|
|         142|  2.2337e-01|   -6.741708|   -9.184051|    1.171480|    0.035415|    0.004698|
|         143|  2.2324e-01|   -6.741171|   -9.169101|    1.169109|    0.034939|    0.004309|
|         144|  2.2310e-01|   -6.742982|   -9.152846|    1.167459|    0.034647|    0.004153|
|         145|  2.2298e-01|   -6.745776|   -9.135269|    1.166567|    0.034533|    0.004215|
|         146|  2.2284e-01|   -6.748039|   -9.116331|    1.166431|    0.034584|    0.004474|
|         147|  2.2269e-01|   -6.748479|   -9.096057|    1.167013|    0.034781|    0.004896|
|         148|  2.2261e-01|   -6.746386|   -9.074559|    1.168244|    0.035097|    0.005446|
|         149|  2.2247e-01|   -6.741828|   -9.051942|    1.170023|    0.035504|    0.006079|
|         150|  2.2233e-01|   -6.735565|   -9.028345|    1.172223|    0.035967|    0.006751|
|         151|  2.2221e-01|   -6.728761|   -9.003943|    1.174694|    0.036451|    0.007412|
|         152|  2.2222e-01|   -6.722639|   -8.978863|    1.177280|    0.036920|    0.008019|
|         153|  2.2214e-01|   -6.718227|   -8.953313|    1.179819|    0.037341|    0.008530|
|         154|  2.2203e-01|   -6.716224|   -8.927454|    1.182164|    0.037684|    0.008913|
|         155|  2.2194e-01|   -6.716959|   -8.901405|    1.184184|    0.037928|    0.009143|
|         156|  2.2193e-01|   -6.720408|   -8.875237|    1.185776|    0.038054|    0.009208|
|         157|  2.2183e-01|   -6.726244|   -8.849100|    1.186863|    0.038055|    0.009101|
|         158|  2.2174e-01|   -6.733911|   -8.823109|    1.187400|    0.037930|    0.008830|
|         159|  2.2163e-01|   -6.742719|   -8.797333|    1.187374|    0.037683|    0.008405|
|         160|  2.2156e-01|   -6.751967|   -8.771804|    1.186799|    0.037326|    0.007848|
|         161|  2.2146e-01|   -6.761073|   -8.746596|    1.185717|    0.036875|    0.007185|
|         162|  2.2139e-01|   -6.769693|   -8.721769|    1.184192|    0.036350|    0.006445|
|         163|  2.2130e-01|   -6.777781|   -8.697360|    1.182311|    0.035776|    0.005660|
|         164|  2.2121e-01|   -6.785577|   -8.673402|    1.180174|    0.035178|    0.004866|
|         165|  2.2111e-01|   -6.793517|   -8.649934|    1.177889|    0.034580|    0.004094|
|         166|  2.2103e-01|   -6.802107|   -8.626983|    1.175567|    0.034008|    0.003376|
|         167|  2.2098e-01|   -6.811787|   -8.604573|    1.173316|    0.033483|    0.002736|
|         168|  2.2087e-01|   -6.822827|   -8.582746|    1.171231|    0.033023|    0.002195|
|         169|  2.2078e-01|   -6.835260|   -8.561532|    1.169391|    0.032641|    0.001767|
|         170|  2.2070e-01|   -6.848858|   -8.540965|    1.167856|    0.032346|    0.001457|
|         171|  2.2059e-01|   -6.863154|   -8.521073|    1.166665|    0.032141|    0.001267|
|         172|  2.2051e-01|   -6.877507|   -8.501884|    1.165837|    0.032024|    0.001191|
|         173|  2.2045e-01|   -6.891219|   -8.483432|    1.165370|    0.031990|    0.001218|
|         174|  2.2037e-01|   -6.903675|   -8.465737|    1.165248|    0.032030|    0.001335|
|         175|  2.2028e-01|   -6.914493|   -8.448836|    1.165438|    0.032134|    0.001525|
|         176|  2.2021e-01|   -6.923612|   -8.432755|    1.165899|    0.032288|    0.001769|
|         177|  2.2013e-01|   -6.931308|   -8.417514|    1.166577|    0.032479|    0.002048|
|         178|  2.2007e-01|   -6.938116|   -8.403140|    1.167410|    0.032690|    0.002342|
|         179|  2.1999e-01|   -6.944703|   -8.389662|    1.168334|    0.032907|    0.002630|
|         180|  2.1995e-01|   -6.951735|   -8.377099|    1.169278|    0.033114|    0.002894|
|         181|  2.1988e-01|   -6.959750|   -8.365483|    1.170179|    0.033298|    0.003119|
|         182|  2.1992e-01|   -6.969080|   -8.354823|    1.170978|    0.033447|    0.003292|
|         183|  2.1996e-01|   -6.979798|   -8.345137|    1.171624|    0.033553|    0.003405|
|         184|  2.1989e-01|   -6.991711|   -8.336457|    1.172082|    0.033611|    0.003455|
|         185|  2.1993e-01|   -7.004379|   -8.328799|    1.172327|    0.033618|    0.003442|
|         186|  2.1997e-01|   -7.017182|   -8.322159|    1.172346|    0.033575|    0.003370|
|         187|  2.1999e-01|   -7.029422|   -8.316579|    1.172140|    0.033485|    0.003245|
|         188|  2.2003e-01|   -7.040473|   -8.312100|    1.171719|    0.033354|    0.003077|
|         189|  2.2007e-01|   -7.049930|   -8.308736|    1.171104|    0.033189|    0.002877|
|         190|  2.1998e-01|   -7.057720|   -8.306514|    1.170325|    0.033000|    0.002658|
|         191|  2.1992e-01|   -7.064109|   -8.305443|    1.169421|    0.032797|    0.002434|
|         192|  2.1985e-01|   -7.069613|   -8.305548|    1.168438|    0.032591|    0.002220|
|         193|  2.1984e-01|   -7.074852|   -8.306857|    1.167427|    0.032395|    0.002030|
|         194|  2.1978e-01|   -7.080405|   -8.309387|    1.166439|    0.032218|    0.001876|
|         195|  2.1972e-01|   -7.086699|   -8.313160|    1.165520|    0.032072|    0.001770|
|         196|  2.1964e-01|   -7.093954|   -8.318183|    1.164713|    0.031963|    0.001717|
|         197|  2.1956e-01|   -7.102166|   -8.324473|    1.164052|    0.031896|    0.001723|
|         198|  2.1950e-01|   -7.111127|   -8.332054|    1.163560|    0.031875|    0.001787|
|         199|  2.1944e-01|   -7.120479|   -8.340938|    1.163250|    0.031899|    0.001907|
|         200|  2.1935e-01|   -7.129792|   -8.351112|    1.163125|    0.031967|    0.002079|
|         201|  2.1926e-01|   -7.138664|   -8.362612|    1.163179|    0.032074|    0.002295|
|         202|  2.1923e-01|   -7.146804|   -8.375443|    1.163396|    0.032215|    0.002546|
|         203|  2.1915e-01|   -7.154110|   -8.389620|    1.163754|    0.032382|    0.002822|
|         204|  2.1907e-01|   -7.160680|   -8.405142|    1.164224|    0.032568|    0.003111|
|         205|  2.1900e-01|   -7.166787|   -8.422027|    1.164772|    0.032763|    0.003402|
|         206|  2.1894e-01|   -7.172808|   -8.440276|    1.165364|    0.032959|    0.003684|
|         207|  2.1888e-01|   -7.179138|   -8.459873|    1.165963|    0.033148|    0.003947|
|         208|  2.1881e-01|   -7.186114|   -8.480851|    1.166536|    0.033323|    0.004182|
|         209|  2.1873e-01|   -7.193958|   -8.503198|    1.167053|    0.033478|    0.004385|
|         210|  2.1865e-01|   -7.202747|   -8.526935|    1.167489|    0.033608|    0.004550|
