|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|          93|  2.3635e-01|   -6.592218|  -10.217985|    0.543321|    0.010293|    0.004312|
|          94|  2.3632e-01|   -6.626316|  -10.209841|    0.544756|    0.010470|    0.005400|
|          95|  2.3611e-01|   -6.656140|  -10.201707|    0.547833|    0.010844|    0.006898|
|          96|  2.3618e-01|   -6.677184|  -10.193585|    0.552351|    0.011378|    0.008695|
|          97|  2.3640e-01|   -6.688224|  -10.185479|    0.558012|    0.012026|    0.010658|
|          98|  2.3641e-01|   -6.691439|  -10.177393|    0.564426|    0.012731|    0.012641|
|          99|  2.3646e-01|   -6.690849|  -10.169327|    0.571163|    0.013436|    0.014508|
|         100|  2.3662e-01|   -6.690808|  -10.161298|    0.577801|    0.014086|    0.016143|
|         101|  2.3687e-01|   -6.694839|  -10.153314|    0.583966|    0.014635|    0.017460|
|         102|  2.3685e-01|   -6.705080|  -10.145378|    0.589351|    0.015050|    0.018408|
|         103|  2.3676e-01|   -6.722273|  -10.137493|    0.593727|    0.015313|    0.018961|
|         104|  2.3667e-01|   -6.745893|  -10.129671|    0.596948|    0.015415|    0.019123|
|         105|  2.3656e-01|   -6.774172|  -10.121921|    0.598943|    0.015359|    0.018915|
|         106|  2.3648e-01|   -6.804039|  -10.114233|    0.599707|    0.015156|    0.018374|
|         107|  2.3634e-01|   -6.831315|  -10.106603|    0.599278|    0.014820|    0.017543|
|         108|  2.3625e-01|   -6.851781|  -10.099032|    0.597740|    0.014372|    0.016476|
|         109|  2.3676e-01|   -6.863121|  -10.091517|    0.595240|    0.013841|    0.015242|
|         110|  2.3698e-01|   -6.866116|  -10.084046|    0.592001|    0.013267|    0.013927|
|         111|  2.3699e-01|   -6.864064|  -10.076617|    0.588307|    0.012688|    0.012621|
|         112|  2.3702e-01|   -6.861311|  -10.069225|    0.584460|    0.012145|    0.011411|
|         113|  2.3697e-01|   -6.861826|  -10.061866|    0.580748|    0.011669|    0.010368|
|         114|  2.3742e-01|   -6.868390|  -10.054531|    0.577421|    0.011286|    0.009542|
|         115|  2.3747e-01|   -6.882421|  -10.047226|    0.574675|    0.011008|    0.008965|
|         116|  2.3796e-01|   -6.904047|  -10.039951|    0.572642|    0.010842|    0.008649|
|         117|  2.3829e-01|   -6.932066|  -10.032704|    0.571398|    0.010784|    0.008589|
|         118|  2.3831e-01|   -6.963704|  -10.025488|    0.570961|    0.010825|    0.008768|
|         119|  2.3835e-01|   -6.994369|  -10.018302|    0.571318|    0.010954|    0.009164|
|         120|  2.3833e-01|   -7.018163|  -10.011142|    0.572437|    0.011156|    0.009750|
