"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
18, 9.126999974250000e-01, -1.629990808968641e-02, 8.184284705739808e-02, -1.479411458138808e-01, -1.426299174606398e-01, 2.184155478029390e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.323539899157162e-03
19, 9.035800099370001e-01, -1.759973353187712e-02, 8.272458914626980e-02, -1.480933831869938e-01, -1.419931450899150e-01, 2.197254593330042e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.571254751691897e-03
20, 8.940600156780000e-01, -1.895420179870470e-02, 8.689809504548725e-02, -1.521519108473991e-01, -1.421775661673212e-01, 2.295299584255950e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.793433850602972e-03
21, 8.841500282290000e-01, -2.035957052879699e-02, 9.340234560598912e-02, -1.590316388271134e-01, -1.422668362397066e-01, 2.454931372498679e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.134988058220250e-03
22, 8.738499879840000e-01, -2.180910543430300e-02, 1.012023587691982e-01, -1.675288480331432e-01, -1.417885097973368e-01, 2.649436068845683e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.670377842859257e-03
23, 8.631799817090000e-01, -2.329221322589389e-02, 1.096294017694562e-01, -1.768036314089691e-01, -1.407458441874421e-01, 2.858650089966767e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.309292817621279e-03
24, 8.521599769590000e-01, -2.479941512380759e-02, 1.180965955754757e-01, -1.861638652486164e-01, -1.391725068102793e-01, 3.070760103881675e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.115183449297401e-03
25, 8.407700061800000e-01, -2.632837949520534e-02, 1.265195680215288e-01, -1.954616077723492e-01, -1.373122964477727e-01, 3.279863313557842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.963917330262425e-03
26, 8.290500044819999e-01, -2.787021598333102e-02, 1.347855490148576e-01, -2.045696583873783e-01, -1.352443845742112e-01, 3.486875851725278e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.868575874460244e-03
27, 8.170099854470000e-01, -2.942117828972242e-02, 1.430335251832721e-01, -2.136277600493146e-01, -1.330783226129304e-01, 3.692996678263338e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.758696754538495e-03
28, 8.046399950980000e-01, -3.098043989985257e-02, 1.513794310995860e-01, -2.227591516750124e-01, -1.308449932317319e-01, 3.901533433570079e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.584204695614712e-03
29, 7.919700145720000e-01, -3.254208650530539e-02, 1.598887301081113e-01, -2.320609576226846e-01, -1.285092467898936e-01, 4.115184733158373e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.365852880131057e-03
30, 7.790099978450000e-01, -3.410258136868621e-02, 1.686845080093304e-01, -2.416468260103712e-01, -1.260974337653026e-01, 4.334603696875453e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.138825728366437e-03
31, 7.657799720760000e-01, -3.565691965670497e-02, 1.776983214940744e-01, -2.514595344021796e-01, -1.235328400396900e-01, 4.560715165924967e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.045302817634847e-03
32, 7.522799968720000e-01, -3.720220959049202e-02, 1.869485424209762e-01, -2.615077604346139e-01, -1.208225106960230e-01, 4.792287720456083e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.050994027280155e-03
33, 7.385200262070000e-01, -3.873417344112527e-02, 1.963072915477306e-01, -2.716581714328256e-01, -1.179049198734163e-01, 5.028296928162326e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.084749951778558e-03
34, 7.245299816130000e-01, -4.024632677589922e-02, 2.057619501917849e-01, -2.818846626020989e-01, -1.147931614104643e-01, 5.266120108161186e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.047771057699094e-03
35, 7.103199958800001e-01, -4.173450856991878e-02, 2.152131384994935e-01, -2.920805859420804e-01, -1.114537149218817e-01, 5.504576710242483e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.653668001846917e-04
36, 6.958900094030001e-01, -4.319567900979453e-02, 2.246893141345681e-01, -3.022708182615818e-01, -1.079222139230535e-01, 5.743017632503214e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.075550367995089e-04
37, 6.812700033190000e-01, -4.462394088188092e-02, 2.341532516517055e-01, -3.124207706898764e-01, -1.041797729321023e-01, 5.981538447401009e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.448443019448087e-04
38, 6.664699912070000e-01, -4.601574503663058e-02, 2.435848431237716e-01, -3.225034627246711e-01, -1.002639934704183e-01, 6.218768393908539e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.331321487637601e-04
39, 6.514999866490000e-01, -4.736780016636943e-02, 2.528646132968330e-01, -3.323912583420019e-01, -9.616176192711862e-02, 6.452663527807526e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.918869311675457e-04
40, 6.363800168040000e-01, -4.867624918413012e-02, 2.619578137736612e-01, -3.420486207859990e-01, -9.191108054051447e-02, 6.681462321988833e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.635638816316156e-04
41, 6.211299896240000e-01, -4.993769384749128e-02, 2.707796070849438e-01, -3.513874208940350e-01, -8.750575195835983e-02, 6.903957742110729e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.429012254637832e-04
42, 6.057599782940000e-01, -5.114994616543568e-02, 2.793323799693099e-01, -3.604080598541827e-01, -8.298953934336507e-02, 7.119185386456651e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.456755837009466e-04
43, 5.902799963950000e-01, -5.231111831905059e-02, 2.875598323768829e-01, -3.690551709869100e-01, -7.835577604086615e-02, 7.326755984542176e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.143165950972621e-04
44, 5.747100114820000e-01, -5.341891196250524e-02, 2.954990567320349e-01, -3.773708522202801e-01, -7.364900711410169e-02, 7.526618080510845e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.757359059798666e-04
45, 5.590599775310000e-01, -5.447209061876831e-02, 3.031171555650360e-01, -3.853163194306240e-01, -6.886341764810333e-02, 7.718845649984814e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.489283979327383e-04
46, 5.433599948880000e-01, -5.546839806185518e-02, 3.104633513164232e-01, -3.929571598213533e-01, -6.403515689335393e-02, 7.904031817302141e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.246378428568620e-05
47, 5.276100039480000e-01, -5.640780773651622e-02, 3.175388817832760e-01, -4.002893269626610e-01, -5.915118411975694e-02, 8.082759766250328e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.445053904095800e-04
48, 5.118399858470000e-01, -5.728865537848245e-02, 3.244332107244874e-01, -4.074073282856764e-01, -5.424251754939045e-02, 8.256183386750963e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.453238948319088e-04
49, 4.960500001910000e-01, -5.811116884544621e-02, 3.311617198468187e-01, -4.143329749358212e-01, -4.930490759406914e-02, 8.425284382084913e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.631832884059002e-05
50, 4.802699983120000e-01, -5.887407550014048e-02, 3.377215521958279e-01, -4.210671478446705e-01, -4.433290066548423e-02, 8.590787188353825e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.459105009917985e-04
51, 4.645099937920000e-01, -5.957724064237201e-02, 3.439737706951642e-01, -4.274591512300898e-01, -3.930123931596826e-02, 8.748554093011779e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.872114897391889e-03
52, 4.487800002100000e-01, -6.022046756124510e-02, 3.495328630973510e-01, -4.331277554581165e-01, -3.417707729795699e-02, 8.889329148165383e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.902424013993908e-03
53, 4.331099987030000e-01, -6.080274609201176e-02, 3.539937919414270e-01, -4.376727123011694e-01, -2.895782251798954e-02, 9.002534490959462e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.358293448577288e-02
