"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          96,      -7.434575314,      -6.954141395,      -7.574046083,      -7.484766957,      -6.842574794,      -11.61307907
          0,           0,          97,      -7.445899698,      -6.966178419,      -7.564445509,      -7.483681069,      -6.854139404,      -11.62249837
          0,           0,          98,      -7.457216618,      -6.978338341,      -7.553900849,      -7.481204982,      -6.865714804,      -11.63207012
          0,           0,          99,      -7.468495369,       -6.99059647,      -7.542742687,      -7.477469874,      -6.877266431,      -11.64176366
          0,           0,         100,      -7.479709874,      -7.002930427,      -7.531294639,      -7.472674231,       -6.88876385,      -11.65156234
          0,           0,         101,      -7.490839478,      -7.015319989,      -7.519852443,      -7.467058752,      -6.900181862,      -11.66145856
          0,           0,         102,      -7.501868149,      -7.027746699,      -7.508670377,      -7.460879852,      -6.911500053,      -11.67145105
          0,           0,         103,      -7.512784512,      -7.040194345,      -7.497955926,      -7.454389947,      -6.922703174,      -11.68153806
          0,           0,         104,      -7.523584191,      -7.052648151,      -7.487867236,      -7.447816631,       -6.93378395,      -11.69171218
          0,           0,         105,      -7.534264547,      -7.065095556,      -7.478520028,      -7.441355584,      -6.944737472,       -11.7019604
          0,           0,         106,      -7.544826541,      -7.077526453,       -7.46999304,      -7.435168072,      -6.955563202,      -11.71227363
          0,           0,         107,      -7.555275772,      -7.089934782,      -7.462330797,      -7.429379257,      -6.966266115,      -11.72264039
          0,           0,         108,      -7.565617343,      -7.102315736,      -7.455548245,      -7.424079767,      -6.976851175,      -11.73305064
          0,           0,         109,      -7.575858058,      -7.114665237,      -7.449634711,      -7.419327722,      -6.987325498,       -11.7434962
          0,           0,         110,       -7.58600267,      -7.126977848,      -7.444568962,      -7.415152725,       -6.99769452,      -11.75397054
          0,           0,         111,       -7.59606024,      -7.139252078,       -7.44032421,      -7.411569593,      -7.007968442,      -11.76446849
          0,           0,         112,      -7.606039373,      -7.151487824,      -7.436864579,      -7.408577236,      -7.018157415,      -11.77498619
          0,           0,         113,      -7.615948455,      -7.163687047,      -7.434147344,      -7.406162765,      -7.028271419,      -11.78552015
