"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          99,      -5.584327771,      -6.080529335,      -6.005924722,      -5.031296317
          0,           0,         100,      -5.606635712,      -6.107464448,      -6.025907989,      -5.053310001
          0,           0,         101,      -5.628262218,      -6.135511796,      -6.047564262,      -5.074970317
          0,           0,         102,      -5.649028418,      -6.164038886,      -6.070952599,       -5.09609271
          0,           0,         103,      -5.668867122,      -6.192354223,      -6.095979391,      -5.116532791
          0,           0,         104,      -5.687906718,      -6.219811986,      -6.122434533,      -5.136324102
          0,           0,         105,      -5.706419817,      -6.245921918,      -6.149807736,      -5.155614361
          0,           0,         106,      -5.724746437,      -6.270386364,      -6.177400035,      -5.174607949
          0,           0,         107,       -5.74321527,      -6.293272579,      -6.204341497,      -5.193509434
          0,           0,         108,      -5.762099644,      -6.314698149,      -6.229727837,      -5.212502628
          0,           0,         109,      -5.781563234,      -6.335061341,      -6.252881173,      -5.231718326
          0,           0,         110,      -5.801658259,      -6.354821997,       -6.27345708,      -5.251232271
          0,           0,         111,      -5.822374196,      -6.374501038,      -6.291499956,      -5.271114618
          0,           0,         112,       -5.84360772,       -6.39453565,      -6.307175746,      -5.291370054
          0,           0,         113,      -5.865203104,      -6.415207219,       -6.32111706,      -5.311954289
          0,           0,         114,       -5.88702445,      -6.436526742,      -6.334305604,      -5.332839493
          0,           0,         115,      -5.908947673,      -6.458491863,      -6.347752897,      -5.354003295
          0,           0,         116,       -5.93086856,      -6.481074262,      -6.362121965,        -5.3754115
          0,           0,         117,       -5.95266131,      -6.504104433,      -6.377818452,      -5.396964479
          0,           0,         118,       -5.97424903,      -6.527408716,      -6.395120382,       -5.41857335
          0,           0,         119,      -5.995611868,      -6.550944779,      -6.414317985,      -5.440182892
          0,           0,         120,      -6.016742945,      -6.574771475,      -6.435412257,      -5.461727221
          0,           0,         121,       -6.03762067,      -6.598928792,      -6.458455344,      -5.483113448
          0,           0,         122,      -6.058310033,      -6.623451517,      -6.483422265,      -5.504350948
