"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         117,      -4.235227189,      -1.409044427,      -1.249374181,      -1.256832902,       1.232902362
          0,           0,         118,      -4.243665852,      -1.413985918,      -1.263132179,      -1.270396541,       1.224422141
          0,           0,         119,      -4.251662122,      -1.417690139,      -1.276080662,      -1.283241057,       1.216255509
          0,           0,         120,      -4.258837836,      -1.419640649,      -1.287729684,      -1.294910703,       1.208806591
          0,           0,         121,      -4.264921237,      -1.419450214,      -1.297655179,      -1.304982287,       1.202393754
          0,           0,         122,      -4.269845798,      -1.417013115,      -1.305610962,      -1.313147023,       1.197144458
          0,           0,         123,      -4.273717576,      -1.412625239,      -1.311620004,      -1.319290433,        1.19302562
          0,           0,         124,      -4.276721112,       -1.40688713,      -1.315947968,      -1.323525906,       1.189922808
          0,           0,         125,      -4.278842193,      -1.400560523,       -1.31899635,      -1.326157086,       1.187916887
          0,           0,         126,      -4.279829858,       -1.39434392,      -1.321150229,      -1.327584316,       1.187311578
          0,           0,         127,      -4.279319981,      -1.388699182,      -1.322686063,       -1.32819515,       1.188503105
          0,           0,         128,      -4.277096059,      -1.383802213,      -1.323785455,      -1.328295244,       1.191700903
          0,           0,         129,      -4.273180996,      -1.379597176,      -1.324590373,      -1.328101916,       1.196843046
          0,           0,         130,      -4.267980383,      -1.375850984,      -1.325266147,      -1.327782684,       1.203446454
          0,           0,         131,      -4.262036509,      -1.372272337,      -1.326004659,       -1.32749479,       1.210877594
          0,           0,         132,      -4.255887006,      -1.368612887,      -1.326999831,      -1.327411819,       1.218514415
          0,           0,         133,      -4.249974352,      -1.364759904,      -1.328396839,      -1.327719185,       1.225848599
          0,           0,         134,      -4.244633236,      -1.360734663,      -1.330260507,      -1.328588935,       1.232499438
          0,           0,         135,      -4.240099184,      -1.356685162,      -1.332579031,      -1.330143826,       1.238203197
          0,           0,         136,      -4.236518206,       -1.35282177,      -1.335292847,      -1.332439363,       1.242798739
          0,           0,         137,      -4.233968098,      -1.349366226,      -1.338328501,      -1.335459102,       1.246201504
          0,           0,         138,      -4.232468855,      -1.346513432,      -1.341619029,      -1.339127339,       1.248391056
          0,           0,         139,      -4.231979316,      -1.344406761,      -1.345111071,      -1.343320328,        1.24941184
          0,           0,         140,       -4.23241334,      -1.343132256,      -1.348757831,      -1.347887982,       1.249357149
