Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
1.0022,0,0,0,80.069,0,32.028,1.0067,0,0.56299,0,0,0,1.68E-07,0.0072909,-0.0011411,0,0,0.61945,0,0.10631,-0.047584,0
1.0025,0,0,0,80.107,0,32.043,1.0068,0,0.59324,0,0,0,1.68E-07,0.0072753,-0.0012357,0,0,0.61993,0,0.098386,-0.04629,0
1.0028,0,0,0,80.145,0,32.058,1.007,0,0.62401,0,0,0,1.68E-07,0.007236,-0.0013292,0,0,0.61951,0,0.090925,-0.04497,0
1.0032,0,0,0,80.184,0,32.074,1.0071,0,0.65517,0,0,0,1.68E-07,0.00717,-0.0014204,0,0,0.61806,0,0.083912,-0.043631,0
1.0035,0,0,0,80.223,0,32.089,1.0073,0,0.68656,0,0,0,1.68E-07,0.0070828,-0.0015097,0,0,0.61581,0,0.07733,-0.042277,0
1.0039,0,0,0,80.263,0,32.105,1.0074,0,0.71802,0,0,0,1.68E-07,0.0069763,-0.0015965,0,0,0.61281,0,0.071158,-0.040913,0
1.0042,0,0,0,80.302,0,32.121,1.0075,0,0.74934,0,0,0,1.68E-07,0.0068529,-0.0016809,0,0,0.60918,0,0.06538,-0.039542,0
1.0046,0,0,0,80.34,0,32.136,1.0077,0,0.78031,0,0,0,1.68E-07,0.0067131,-0.0017623,0,0,0.6049,0,0.059977,-0.03817,0
1.0049,0,0,0,80.378,0,32.151,1.0078,0,0.81065,0,0,0,1.68E-07,0.006556,-0.0018398,0,0,0.59993,0,0.05493,-0.036799,0
1.0053,0,0,0,80.415,0,32.166,1.0079,0,0.84005,0,0,0,1.68E-07,0.0063815,-0.0019126,0,0,0.59424,0,0.050222,-0.035433,0
1.0056,0,0,0,80.45,0,32.18,1.008,0,0.86816,0,0,0,1.68E-07,0.0061866,-0.0019787,0,0,0.58765,0,0.045837,-0.034074,0
1.0059,0,0,0,80.483,0,32.193,1.0081,0,0.89455,0,0,0,1.68E-07,0.0059643,-0.0020347,0,0,0.57977,0,0.041756,-0.032725,0
1.0062,0,0,0,80.513,0,32.205,1.0082,0,0.91873,0,0,0,1.68E-07,0.0057095,-0.0020768,0,0,0.57026,0,0.037964,-0.031388,0
1.0065,0,0,0,80.54,0,32.216,1.0083,0,0.94014,0,0,0,1.68E-07,0.0054161,-0.0021002,0,0,0.55866,0,0.034445,-0.030065,0
1.0067,0,0,0,80.563,0,32.225,1.0083,0,0.95812,0,0,0,1.68E-07,0.0050775,-0.0020989,0,0,0.54441,0,0.031184,-0.028759,0
1.0069,0,0,0,80.58,0,32.232,1.0083,0,0.97193,0,0,0,1.68E-07,0.0046883,-0.0020664,0,0,0.52686,0,0.028167,-0.02747,0
1.0071,0,0,0,80.591,0,32.236,1.0083,0,0.98072,0,0,0,1.68E-07,0.0042436,-0.0019949,0,0,0.50521,0,0.02538,-0.026201,0
1.0072,0,0,0,80.594,0,32.238,1.0082,0,0.98352,0,0,0,1.68E-07,0.0037401,-0.001876,0,0,0.47844,0,0.022809,-0.024952,0
1.0073,0,0,0,80.589,0,32.236,1.0081,0,0.97927,0,0,0,1.68E-07,0.0031753,-0.0017006,0,0,0.4451,0,0.020443,-0.023724,0
1.0072,0,0,0,80.574,0,32.229,1.0079,0,0.96681,0,0,0,1.68E-07,0.0025471,-0.0014576,0,0,0.40291,0,0.018269,-0.02252,0
1.0071,0,0,0,80.546,0,32.218,1.0078,0,0.94491,0,0,0,1.68E-07,0.0018543,-0.0011349,0,0,0.34784,0,0.016276,-0.021339,0
1.0068,0,0,0,80.505,0,32.202,1.0075,0,0.91221,0,0,0,1.68E-07,0.001098,-0.00071943,0,0,0.27117,0,0.014452,-0.020184,0
1.0064,0,0,0,80.449,0,32.18,1.0072,0,0.86739,0,0,0,1.68E-07,0.00028153,-0.00019773,0,0,0.1393,0,0.012789,-0.019055,0
1.0058,0,0,0,80.376,0,32.151,1.0069,0,0.8091,0,0,0,1.68E-07,-0.00058922,0.00044418,0,0,0.20476,0,0.011275,-0.017953,0
1.005,0,0,0,80.285,0,32.114,1.0065,0,0.73605,0,0,0,1.68E-07,-0.0015062,0.0012205,0,0,0.33318,0,0.0099023,-0.016879,0
1.0041,0,0,0,80.174,0,32.07,1.0061,0,0.64724,0,0,0,1.67E-07,-0.002459,0.0021452,0,0,0.43404,0,0.008661,-0.015834,0
1.0029,0,0,0,80.042,0,32.017,1.0056,0,0.54173,0,0,0,1.67E-07,-0.0034316,0.0032286,0,0,0.52381,0,0.0075428,-0.01482,0
1.0014,0,0,0,79.889,0,31.956,1.0052,0,0.41912,0,0,0,1.67E-07,-0.0044038,0.004477,0,0,0.60751,0,0.0065393,-0.013838,0
0.99976,0,0,0,79.714,0,31.886,1.0046,0,0.27936,0,0,0,1.67E-07,-0.0053521,0.0058908,0,0,0.68722,0,0.0056425,-0.012889,0
0.99784,0,0,0,79.519,0,31.808,1.0041,0,0.12295,0,0,0,1.67E-07,-0.0062509,0.0074647,0,0,0.76396,0,0.0048446,-0.011973,0
0.99567,0,0,0,79.304,0,31.722,1.0036,0,-0.049049,0,0,0,1.67E-07,-0.0070745,0.0091868,0,0,0.83819,0,0.004138,-0.011092,0
0.99328,0,0,0,79.071,0,31.629,1.003,0,-0.23497,0,0,0,1.67E-07,-0.0077991,0.01104,0,0,0.91014,0,0.0035153,-0.010247,0
0.99069,0,0,0,78.824,0,31.53,1.0025,0,-0.43268,0,0,0,1.67E-07,-0.0084042,0.013,0,0,0.9799,0,0.0029694,-0.0094379,0
0.98794,0,0,0,78.566,0,31.426,1.002,0,-0.63958,0,0,0,1.67E-07,-0.0088739,0.015041,0,0,1.0475,0,0.0024934,-0.008666,0
0.98507,0,0,0,78.299,0,31.32,1.0015,0,-0.85276,0,0,0,1.67E-07,-0.0091983,0.017132,0,0,1.1129,0,0.0020806,-0.0079314,0
0.98212,0,0,0,78.029,0,31.211,1.0011,0,-1.0692,0,0,0,1.67E-07,-0.0093733,0.019243,0,0,1.1763,0,0.0017246,-0.0072341,0
0.97913,0,0,0,77.757,0,31.103,1.0006,0,-1.2861,0,0,0,1.67E-07,-0.0094001,0.021343,0,0,1.2375,0,0.0014194,-0.0065739,0
0.97615,0,0,0,77.489,0,30.996,1.0002,0,-1.5005,0,0,0,1.67E-07,-0.0092864,0.023402,0,0,1.2968,0,0.0011592,-0.0059503,0
0.97321,0,0,0,77.227,0,30.891,0.99985,0,-1.7101,0,0,0,1.67E-07,-0.0090449,0.025399,0,0,1.3542,0,0.00093876,-0.0053627,0
0.97034,0,0,0,76.974,0,30.79,0.99951,0,-1.9129,0,0,0,1.67E-07,-0.008691,0.027317,0,0,1.4101,0,0.00075319,-0.0048102,0
0.96758,0,0,0,76.731,0,30.692,0.99921,0,-2.1072,0,0,0,1.67E-07,-0.0082415,0.029141,0,0,1.4648,0,0.00059799,-0.0042916,0
0.96493,0,0,0,76.5,0,30.6,0.99893,0,-2.2918,0,0,0,1.67E-07,-0.0077139,0.030861,0,0,1.5184,0,0.00046913,-0.0038058,0
0.96242,0,0,0,76.283,0,30.513,0.99869,0,-2.466,0,0,0,1.67E-07,-0.0071256,0.032473,0,0,1.5713,0,0.00036295,-0.0033513,0
0.96006,0,0,0,76.078,0,30.431,0.99847,0,-2.6295,0,0,0,1.66E-07,-0.0064926,0.033975,0,0,1.6239,0,0.00027624,-0.0029267,0
0.95783,0,0,0,75.887,0,30.355,0.99827,0,-2.7822,0,0,0,1.66E-07,-0.0058295,0.035369,0,0,1.6765,0,0.00020611,-0.0025306,0
0.95576,0,0,0,75.71,0,30.284,0.9981,0,-2.9241,0,0,0,1.66E-07,-0.0051491,0.036658,0,0,1.7294,0,0.00015008,-0.0021613,0
0.95382,0,0,0,75.545,0,30.218,0.99796,0,-3.0557,0,0,0,1.66E-07,-0.0044621,0.037847,0,0,1.7831,0,0.00010594,-0.0018174,0
0.95202,0,0,0,75.393,0,30.157,0.99783,0,-3.1776,0,0,0,1.66E-07,-0.0037768,0.038937,0,0,1.8377,0,7.18E-05,-0.0014974,0
0.95035,0,0,0,75.253,0,30.101,0.99772,0,-3.2899,0,0,0,1.66E-07,-0.0031004,0.039929,0,0,1.8935,0,4.60E-05,-0.0011997,0
0.94878,0,0,0,75.122,0,30.049,0.99764,0,-3.3943,0,0,0,1.66E-07,-0.0024383,0.040819,0,0,1.9506,0,2.72E-05,-0.0009231,0
0.94734,0,0,0,75.004,0,30.001,0.99757,0,-3.4891,0,0,0,1.66E-07,-0.0017961,0.041618,0,0,2.0095,0,1.42E-05,-0.00066607,0
0.94595,0,0,0,74.891,0,29.956,0.99755,0,-3.5794,0,0,0,1.66E-07,-0.0011763,0.042293,0,0,2.0695,0,5.82E-06,-0.00042736,0
0.94485,0,0,0,74.803,0,29.921,0.99753,0,-3.6496,0,0,0,1.66E-07,-0.00058237,0.042773,0,0,2.1292,0,1.35E-06,-0.00020572,0
0.9434,0,0,0,74.684,0,29.873,0.99747,0,-3.7451,0,0,0,1.66E-07,3.92E-15,0.042701,0,0,2.1722,0,0,0,0
0.94204,0,0,0,74.569,0,29.827,0.99738,0,-3.8371,0,0,0,1.66E-07,0.00058319,0.042834,0,0,2.1278,0,1.35E-06,0.00020572,0
0.94122,0,0,0,74.495,0,29.798,0.99726,0,-3.8958,0,0,0,1.66E-07,0.0011936,0.042915,0,0,2.0799,0,5.82E-06,0.00042736,0
0.94,0,0,0,74.388,0,29.755,0.99711,0,-3.982,0,0,0,1.66E-07,0.0018587,0.04307,0,0,2.0371,0,1.42E-05,0.00066607,0
0.93874,0,0,0,74.275,0,29.71,0.99694,0,-4.0718,0,0,0,1.66E-07,0.0025781,0.04316,0,0,1.9962,0,2.72E-05,0.0009231,0
0.93742,0,0,0,74.157,0,29.663,0.99676,0,-4.1663,0,0,0,1.66E-07,0.0033539,0.043195,0,0,1.9575,0,4.60E-05,0.0011997,0
0.93604,0,0,0,74.032,0,29.613,0.99655,0,-4.2662,0,0,0,1.66E-07,0.0041881,0.043177,0,0,1.9208,0,7.18E-05,0.0014974,0
0.93461,0,0,0,73.902,0,29.561,0.99631,0,-4.3707,0,0,0,1.66E-07,0.0050811,0.043097,0,0,1.8859,0,0.00010594,0.0018174,0
0.93313,0,0,0,73.766,0,29.506,0.99605,0,-4.4792,0,0,0,1.66E-07,0.0060324,0.042946,0,0,1.8525,0,0.00015008,0.0021613,0
0.93163,0,0,0,73.626,0,29.45,0.99577,0,-4.5911,0,0,0,1.66E-07,0.0070406,0.042717,0,0,1.8206,0,0.00020611,0.0025306,0
0.93012,0,0,0,73.484,0,29.393,0.99546,0,-4.7052,0,0,0,1.66E-07,0.0081023,0.042398,0,0,1.7897,0,0.00027624,0.0029267,0
0.92861,0,0,0,73.34,0,29.336,0.99512,0,-4.8201,0,0,0,1.66E-07,0.0092116,0.041979,0,0,1.7598,0,0.00036295,0.0033513,0
0.92714,0,0,0,73.197,0,29.279,0.99476,0,-4.9342,0,0,0,1.66E-07,0.01036,0.041446,0,0,1.7304,0,0.00046913,0.0038058,0
0.92573,0,0,0,73.058,0,29.223,0.99438,0,-5.0457,0,0,0,1.66E-07,0.011535,0.040786,0,0,1.7014,0,0.00059799,0.0042916,0
0.92442,0,0,0,72.925,0,29.17,0.99398,0,-5.1522,0,0,0,1.66E-07,0.01272,0.039982,0,0,1.6723,0,0.00075319,0.0048102,0
0.92325,0,0,0,72.801,0,29.121,0.99355,0,-5.251,0,0,0,1.66E-07,0.013895,0.039021,0,0,1.6429,0,0.00093876,0.0053627,0
0.92226,0,0,0,72.69,0,29.076,0.99311,0,-5.3397,0,0,0,1.66E-07,0.015036,0.037892,0,0,1.6128,0,0.0011592,0.0059503,0
0.92149,0,0,0,72.596,0,29.038,0.99264,0,-5.4153,0,0,0,1.66E-07,0.016115,0.036589,0,0,1.5817,0,0.0014194,0.0065739,0
0.92099,0,0,0,72.521,0,29.008,0.99215,0,-5.4751,0,0,0,1.66E-07,0.017102,0.03511,0,0,1.5493,0,0.0017246,0.0072341,0
0.92081,0,0,0,72.469,0,28.988,0.99164,0,-5.5167,0,0,0,1.66E-07,0.017964,0.033459,0,0,1.5154,0,0.0020806,0.0079314,0
0.92096,0,0,0,72.442,0,28.977,0.99111,0,-5.5381,0,0,0,1.66E-07,0.018673,0.031649,0,0,1.4796,0,0.0024934,0.008666,0
0.92147,0,0,0,72.443,0,28.977,0.99057,0,-5.5378,0,0,0,1.65E-07,0.019203,0.029703,0,0,1.4419,0,0.0029694,0.0094379,0
