"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         22,           9,      -7.375053286,      -4.280909198,      -4.556248856,      -1.872509129,      -3.511810749,      0.9329898399,       0.272268601,       1.198852437,                 0,                 0,                 0,     0.04574043209,      0.1454628822,       1.220744817,                 0,       4.403197551,       1.024149896,     -0.5240995544,     -0.5397848377,      -0.466920677,     -0.5940806306,      -1.259275093,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,           9,      -7.455547495,      -4.292130132,      -4.573407788,      -1.977273922,      -3.458621348,      0.9329898399,      0.2675332394,       1.202869129,                 0,                 0,                 0,     0.06347879687,      0.1403336028,       1.224244525,                 0,       4.496148336,       1.024256629,      -0.626192536,     -0.5917359955,     -0.5125076946,     -0.7257580511,      -1.211639698,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,           9,       -7.42240025,      -4.266410885,       -4.57324667,      -1.951242008,      -3.502510855,      0.9329898399,      0.2660846231,       1.221986993,                 0,                 0,                 0,     0.08641295782,      0.1368945612,       1.243106237,                 0,        4.59247505,       1.024239101,     -0.5938883728,     -0.6065641991,     -0.5379625266,     -0.7091504443,      -1.268861937,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,           9,      -7.422649965,      -4.168884077,       -4.50973473,      -1.945387262,      -3.453818467,      0.9329898399,      0.2535013561,       1.200215583,                 0,                 0,                 0,     0.09463783355,      0.1266559587,       1.220138784,                 0,       4.734552909,       1.022995109,      -0.612656155,     -0.5474429388,     -0.4850733113,     -0.7283288726,      -1.236163515,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,           9,      -7.431848157,      -4.149113024,         -4.496583,      -1.941568254,      -3.411079507,      0.9329898399,      0.2366560991,       1.162178049,                 0,                 0,                 0,     0.09951748893,      0.1138789867,       1.180548814,                 0,       4.910830751,       1.016655586,     -0.6461487182,     -0.5595000438,     -0.4814268185,     -0.7547978879,       -1.20291701,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,           9,      -7.386857817,      -4.197769656,      -4.550474583,       -1.90120207,      -3.404815882,      0.9329898399,      0.2242171489,       1.141761773,                 0,                 0,                 0,      0.1191357662,      0.1036422603,       1.158944157,                 0,       5.092214305,       1.009155364,     -0.6401262565,     -0.6397520195,     -0.5539500538,     -0.7531006008,      -1.193803064,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,           9,      -7.342252077,      -4.134055146,      -4.525585676,       -1.85314055,      -3.399065829,      0.9329898399,      0.2080501513,       1.091352414,                 0,                 0,                 0,      0.1331603199,     0.09283304006,       1.107121034,                 0,       5.245621825,       1.007923845,     -0.6381773642,     -0.6045477121,     -0.5466341039,     -0.7427745135,      -1.173773729,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,           9,      -7.346638275,      -4.109396995,      -4.507631997,      -1.851927783,      -3.394936635,      0.9329898399,      0.1914713527,       1.029803977,                 0,                 0,                 0,      0.1439973808,     0.08277862535,        1.04417681,                 0,       5.378371036,      0.9991235995,     -0.6636240883,     -0.5982952585,     -0.5270042374,     -0.7613684102,        -1.1493309,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           9,      -7.346496045,      -4.081394908,      -4.483794154,      -1.847054816,      -3.368826651,      0.9329898399,      0.1766613246,       0.966162508,                 0,                 0,                 0,      0.1524416719,     0.07470207313,      0.9793359054,                 0,       5.469009758,      0.9875254299,     -0.6834890224,     -0.5838867126,     -0.5005151282,     -0.7745602082,      -1.104671301,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           9,      -7.344888165,      -4.052257809,      -4.462822672,      -1.837490588,      -3.333679214,      0.9329898399,      0.1635775479,      0.8992267726,                 0,                 0,                 0,      0.1576038464,     0.06868666026,      0.9113992239,                 0,       5.497250597,      0.9757734883,     -0.6946881269,     -0.5616054655,     -0.4752547028,     -0.7754846955,      -1.055898631,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,           9,      -7.340382837,      -4.024405615,      -4.443262771,      -1.824358245,      -3.306780772,      0.9329898399,      0.1507993612,      0.8216352128,                 0,                 0,                 0,      0.1568981062,     0.06408900039,      0.8328970347,                 0,       5.448532448,      0.9472628236,     -0.6926864302,     -0.5347179839,     -0.4460739673,     -0.7633704127,      -1.019711804,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           9,      -7.340919589,      -3.998825104,      -4.418496901,      -1.815273179,      -3.285484022,      0.9329898399,      0.1383081991,      0.7272553456,                 0,                 0,                 0,       0.147438267,     0.06153164864,      0.7377285083,                 0,       5.258222942,      0.9305789832,     -0.6882740152,     -0.5050979105,     -0.4106216553,     -0.7486905809,     -0.9933046577,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,           9,      -7.342275086,       -3.97541409,      -4.387602755,      -1.807068517,      -3.268260094,      0.9329898399,      0.1277983301,      0.6150983535,                 0,                 0,                 0,      0.1278153423,     0.06280295184,      0.6250873434,                 0,       4.813039051,      0.7770002019,     -0.6781349047,     -0.4730024195,     -0.3711672195,     -0.7288181194,     -0.9779728203,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,           9,      -7.340458838,      -3.954399647,       -4.35470202,      -1.798927237,      -3.255008271,      0.9329898399,      0.1207255572,      0.4876789134,                 0,                 0,                 0,     0.09912957341,     0.06908788257,      0.4976266143,                 0,       4.039566474,      0.5652290576,     -0.6599189756,     -0.4391585763,     -0.3307735401,     -0.7039300988,      -0.978986673,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,           9,        -7.3263023,      -3.935958285,      -4.323259581,      -1.785873399,      -3.244869607,      0.9329898399,      0.1173991712,      0.3463722439,                 0,                 0,                 0,     0.06384133916,     0.08055028788,      0.3567463355,                 0,       2.950380658,      0.2882305498,     -0.6266661728,     -0.4040763175,       -0.29439742,     -0.6706075614,     -0.9958166442,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
