+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         149|  2.3924e-01|   -6.536446|   -7.854834|    1.581672|    0.099598|    0.011451|
|         150|  2.3930e-01|   -6.558189|   -7.843354|    1.578590|    0.099213|    0.011333|
|         151|  2.3941e-01|   -6.578303|   -7.833215|    1.576413|    0.099134|    0.011438|
|         152|  2.3946e-01|   -6.595984|   -7.824437|    1.575032|    0.099318|    0.011711|
|         153|  2.3954e-01|   -6.610959|   -7.817059|    1.574313|    0.099712|    0.012095|
|         154|  2.3947e-01|   -6.623522|   -7.811075|    1.574099|    0.100261|    0.012532|
|         155|  2.3958e-01|   -6.634384|   -7.806497|    1.574218|    0.100901|    0.012963|
|         156|  2.3961e-01|   -6.644402|   -7.803299|    1.574490|    0.101572|    0.013334|
|         157|  2.3975e-01|   -6.654304|   -7.801468|    1.574738|    0.102213|    0.013598|
|         158|  2.3995e-01|   -6.664482|   -7.800967|    1.574796|    0.102771|    0.013714|
|         159|  2.4006e-01|   -6.674879|   -7.801779|    1.574515|    0.103199|    0.013653|
|         160|  2.4015e-01|   -6.684961|   -7.803824|    1.573775|    0.103463|    0.013398|
|         161|  2.4073e-01|   -6.693786|   -7.807049|    1.572484|    0.103536|    0.012941|
|         162|  2.4082e-01|   -6.700192|   -7.811385|    1.570579|    0.103405|    0.012284|
|         163|  2.4095e-01|   -6.703096|   -7.816792|    1.568027|    0.103067|    0.011438|
|         164|  2.4101e-01|   -6.701852|   -7.823191|    1.564825|    0.102527|    0.010423|
|         165|  2.4108e-01|   -6.696497|   -7.830499|    1.561001|    0.101802|    0.009268|
|         166|  2.4118e-01|   -6.687763|   -7.838595|    1.556611|    0.100918|    0.008007|
|         167|  2.4133e-01|   -6.676847|   -7.847510|    1.551744|    0.099908|    0.006682|
|         168|  2.4148e-01|   -6.665086|   -7.857177|    1.546514|    0.098813|    0.005339|
|         169|  2.4153e-01|   -6.653679|   -7.867515|    1.541051|    0.097678|    0.004025|
|         170|  2.4148e-01|   -6.643546|   -7.878523|    1.535499|    0.096551|    0.002784|
|         171|  2.4143e-01|   -6.635285|   -7.890087|    1.529997|    0.095478|    0.001656|
|         172|  2.4178e-01|   -6.629201|   -7.902092|    1.524676|    0.094498|    0.000674|
|         173|  2.4268e-01|   -6.625363|   -7.914511|    1.519647|    0.093648|   -0.000138|
|         174|  2.4355e-01|   -6.623663|   -7.927247|    1.515002|    0.092953|   -0.000766|
|         175|  2.4489e-01|   -6.623868|   -7.940101|    1.510803|    0.092432|   -0.001205|
|         176|  2.4547e-01|   -6.625678|   -7.953099|    1.507087|    0.092091|   -0.001460|
|         177|  2.4599e-01|   -6.628771|   -7.965945|    1.503860|    0.091929|   -0.001542|
|         178|  2.4636e-01|   -6.632843|   -7.978507|    1.501104|    0.091938|   -0.001472|
|         179|  2.4726e-01|   -6.637640|   -7.990613|    1.498778|    0.092100|   -0.001274|
|         180|  2.4869e-01|   -6.642970|   -8.002094|    1.496821|    0.092391|   -0.000977|
|         181|  2.4998e-01|   -6.648698|   -8.012729|    1.495157|    0.092786|   -0.000613|
|         182|  2.5114e-01|   -6.654731|   -8.022291|    1.493703|    0.093254|   -0.000212|
|         183|  2.5254e-01|   -6.660985|   -8.030646|    1.492372|    0.093767|    0.000196|
|         184|  2.5356e-01|   -6.667359|   -8.037480|    1.491076|    0.094296|    0.000584|
|         185|  2.5497e-01|   -6.673713|   -8.042783|    1.489737|    0.094815|    0.000931|
|         186|  2.5628e-01|   -6.679853|   -8.046655|    1.488284|    0.095302|    0.001218|
|         187|  2.5752e-01|   -6.685548|   -8.049177|    1.486662|    0.095739|    0.001435|
|         188|  2.5877e-01|   -6.690555|   -8.050315|    1.484828|    0.096113|    0.001574|
|         189|  2.5965e-01|   -6.694662|   -8.050291|    1.482756|    0.096418|    0.001636|
|         190|  2.6066e-01|   -6.697744|   -8.049265|    1.480438|    0.096652|    0.001627|
|         191|  2.6159e-01|   -6.699798|   -8.047349|    1.477881|    0.096818|    0.001556|
|         192|  2.6249e-01|   -6.700960|   -8.044874|    1.475107|    0.096923|    0.001439|
|         193|  2.6317e-01|   -6.701493|   -8.041913|    1.472152|    0.096979|    0.001293|
|         194|  2.6402e-01|   -6.701750|   -8.038775|    1.469064|    0.097002|    0.001140|
|         195|  2.6479e-01|   -6.702123|   -8.035545|    1.465899|    0.097009|    0.001001|
|         196|  2.6582e-01|   -6.702984|   -8.032354|    1.462717|    0.097017|    0.000897|
|         197|  2.6653e-01|   -6.704641|   -8.029447|    1.459581|    0.097047|    0.000851|
|         198|  2.6699e-01|   -6.707306|   -8.026920|    1.456550|    0.097117|    0.000879|
|         199|  2.6744e-01|   -6.711073|   -8.024770|    1.453679|    0.097242|    0.000998|
|         200|  2.6840e-01|   -6.715916|   -8.023334|    1.451014|    0.097437|    0.001218|
|         201|  2.6879e-01|   -6.721693|   -8.022440|    1.448591|    0.097713|    0.001547|
|         202|  2.6962e-01|   -6.728158|   -8.022382|    1.446434|    0.098078|    0.001986|
|         203|  2.6982e-01|   -6.734986|   -8.023192|    1.444555|    0.098535|    0.002533|
|         204|  2.7013e-01|   -6.741800|   -8.024926|    1.442957|    0.099087|    0.003184|
|         205|  2.7026e-01|   -6.748212|   -8.027789|    1.441629|    0.099730|    0.003928|
|         206|  2.7039e-01|   -6.753866|   -8.031879|    1.440554|    0.100460|    0.004754|
|         207|  2.7052e-01|   -6.758474|   -8.037231|    1.439707|    0.101270|    0.005646|
|         208|  2.7051e-01|   -6.761842|   -8.043996|    1.439055|    0.102149|    0.006590|
|         209|  2.7058e-01|   -6.763896|   -8.052306|    1.438565|    0.103087|    0.007569|
|         210|  2.7057e-01|   -6.764676|   -8.062186|    1.438198|    0.104072|    0.008564|
|         211|  2.7059e-01|   -6.764324|   -8.073745|    1.437915|    0.105090|    0.009561|
|         212|  2.7077e-01|   -6.763054|   -8.086921|    1.437680|    0.106128|    0.010543|
|         213|  2.7105e-01|   -6.761132|   -8.101791|    1.437457|    0.107172|    0.011496|
|         214|  2.7100e-01|   -6.758841|   -8.118096|    1.437217|    0.108211|    0.012410|
|         215|  2.7134e-01|   -6.756465|   -8.135883|    1.436933|    0.109233|    0.013275|
|         216|  2.7137e-01|   -6.754269|   -8.154943|    1.436586|    0.110227|    0.014086|
|         217|  2.7201e-01|   -6.752495|   -8.174855|    1.436164|    0.111186|    0.014841|
|         218|  2.7277e-01|   -6.751353|   -8.195218|    1.435659|    0.112104|    0.015539|
