"Pressure","Points:0","Points:1","Points:2"
1.083,1.0525,0.96068,-0.0030123
1.0708,1.0445,0.96179,-0.0040809
1.0583,1.036,0.96296,-0.0052036
1.0461,1.0268,0.96419,-0.0063775
1.034,1.0168,0.96545,-0.0075968
1.0227,1.0061,0.96675,-0.0088542
1.012,0.99464,0.96808,-0.010142
1.002,0.98235,0.96943,-0.011455
0.99238,0.96928,0.9708,-0.012788
0.98285,0.95544,0.97217,-0.014138
0.97287,0.94089,0.97355,-0.0155
0.96206,0.92567,0.97493,-0.016868
0.95008,0.90985,0.97629,-0.018225
0.93687,0.8935,0.9776,-0.01955
0.92259,0.87667,0.97884,-0.020814
0.90781,0.85945,0.97997,-0.02198
0.89342,0.84192,0.98096,-0.02301
0.88072,0.82415,0.98175,-0.023871
0.8711,0.80624,0.98234,-0.024535
0.86571,0.78829,0.98271,-0.024985
0.86495,0.77039,0.98285,-0.025218
0.86839,0.75267,0.98277,-0.025244
0.87506,0.73522,0.98251,-0.025081
0.88385,0.71817,0.98208,-0.02475
0.89381,0.70161,0.98152,-0.024277
1.1048,1.0839,1.0173,-0.00096118
1.0942,1.077,1.0184,-0.0019237
1.0819,1.0697,1.0195,-0.0029122
1.07,1.0621,1.0207,-0.0039452
1.0578,1.0538,1.022,-0.0050301
1.0459,1.045,1.0233,-0.0061644
1.0342,1.0354,1.0246,-0.0073426
1.0233,1.0251,1.026,-0.0085572
1.0131,1.014,1.0274,-0.0098014
1.0036,1.0022,1.0288,-0.011069
0.99457,0.9896,1.0303,-0.012356
0.98561,0.97628,1.0317,-0.01366
0.97624,0.96226,1.0332,-0.014975
0.96608,0.94761,1.0347,-0.016294
0.95479,0.93238,1.0361,-0.017604
0.9423,0.91663,1.0375,-0.018883
0.92874,0.90042,1.0388,-0.020102
0.91451,0.88383,1.04,-0.021227
0.90029,0.86694,1.0411,-0.022221
0.88708,0.84981,1.0419,-0.023051
0.87603,0.83254,1.0425,-0.023691
0.86829,0.81522,1.0429,-0.024125
0.86452,0.79795,1.0431,-0.02435
0.86479,0.78083,1.043,-0.024376
0.86855,0.76397,1.0427,-0.024218
0.87494,0.74749,1.0422,-0.0239
0.88312,0.73148,1.0416,-0.023443
1.1022,1.0977,1.0658,-0.00093397
1.0917,1.091,1.067,-0.0018692
1.0796,1.084,1.0682,-0.0028295
1.068,1.0765,1.0694,-0.0038329
1.0562,1.0686,1.0707,-0.0048867
1.0447,1.06,1.0721,-0.0059884
1.0335,1.0507,1.0735,-0.0071324
1.0231,1.0408,1.0749,-0.0083118
1.0134,1.03,1.0764,-0.0095196
1.0045,1.0186,1.0779,-0.01075
0.996,1.0064,1.0794,-0.011999
0.98764,0.9935,1.081,-0.013264
0.97893,0.97993,1.0825,-0.014541
0.96948,0.96575,1.084,-0.015821
0.95898,0.951,1.0855,-0.017091
0.94739,0.93574,1.087,-0.018331
0.93485,0.92005,1.0884,-0.019514
0.92174,0.90399,1.0896,-0.020604
0.9086,0.88762,1.0907,-0.021568
0.8961,0.87103,1.0916,-0.022373
0.88496,0.85429,1.0923,-0.022994
0.87592,0.83749,1.0927,-0.023415
0.86953,0.82073,1.0928,-0.023633
0.8661,0.80411,1.0928,-0.023658
0.86558,0.78774,1.0925,-0.023505
0.86768,0.77172,1.092,-0.023196
0.87206,0.75616,1.0914,-0.022754
1.0985,1.1089,1.1051,-0.000912
1.0879,1.1023,1.1063,-0.0018251
1.0758,1.0955,1.1075,-0.0027627
1.0644,1.0883,1.1088,-0.0037422
1.053,1.0805,1.1101,-0.0047709
1.0419,1.0721,1.1115,-0.0058461
1.0313,1.0631,1.113,-0.0069626
1.0215,1.0534,1.1145,-0.0081135
1.0126,1.043,1.116,-0.009292
1.0044,1.0318,1.1176,-0.010493
0.99668,1.02,1.1191,-0.011711
0.98916,1.0074,1.1207,-0.012945
0.98133,0.99421,1.1223,-0.01419
0.97281,0.9804,1.1239,-0.015438
0.96327,0.96604,1.1255,-0.016677
0.95267,0.95119,1.127,-0.017886
0.94122,0.93591,1.1284,-0.019038
0.92935,0.92027,1.1297,-0.020102
0.91765,0.90433,1.1309,-0.021041
0.90672,0.88817,1.1318,-0.021826
0.897,0.87185,1.1325,-0.02243
0.88872,0.85548,1.1329,-0.022841
0.88186,0.83913,1.133,-0.023054
0.87635,0.82292,1.133,-0.023078
0.87218,0.80694,1.1327,-0.022929
0.8694,0.7913,1.1322,-0.022628
0.86823,0.7761,1.1315,-0.022197
1.0934,1.1177,1.1361,-0.00089459
1.0834,1.1113,1.1374,-0.0017902
1.0721,1.1046,1.1386,-0.0027098
1.0615,1.0975,1.14,-0.0036704
1.0508,1.0899,1.1413,-0.0046791
1.0404,1.0818,1.1428,-0.0057334
1.0304,1.0729,1.1443,-0.0068281
1.0209,1.0634,1.1458,-0.0079563
1.0121,1.0532,1.1474,-0.0091116
1.0038,1.0423,1.149,-0.010288
0.99603,1.0307,1.1506,-0.011483
0.98853,1.0184,1.1522,-0.012692
0.98102,1.0055,1.1539,-0.013911
0.97308,0.992,1.1555,-0.015135
0.9643,0.97796,1.1571,-0.016348
0.95455,0.96343,1.1587,-0.017533
0.94401,0.94848,1.1602,-0.018662
0.9331,0.93317,1.1615,-0.019703
0.92245,0.91757,1.1627,-0.020624
0.91271,0.90175,1.1636,-0.021392
0.90438,0.88577,1.1643,-0.021984
0.89759,0.86973,1.1647,-0.022386
0.89203,0.85372,1.1649,-0.022594
0.88707,0.83782,1.1648,-0.022618
0.88204,0.82216,1.1645,-0.022473
0.87646,0.80682,1.164,-0.022178
0.87038,0.7919,1.1633,-0.021756
1.0785,1.1246,1.1606,-0.00088088
1.0703,1.1184,1.1619,-0.0017627
1.0607,1.1118,1.1631,-0.0026681
1.0514,1.1048,1.1645,-0.0036138
1.0418,1.0974,1.1659,-0.0046068
1.0324,1.0893,1.1674,-0.0056447
1.0232,1.0807,1.1689,-0.0067221
1.0146,1.0713,1.1705,-0.0078326
1.0066,1.0613,1.1721,-0.0089696
0.99943,1.0506,1.1737,-0.010128
0.99254,1.0392,1.1754,-0.011303
0.98622,1.0271,1.1771,-0.012493
0.98034,1.0144,1.1787,-0.013693
0.97413,1.0011,1.1804,-0.014896
0.96695,0.98734,1.182,-0.01609
0.95862,0.97306,1.1836,-0.017255
0.94936,0.95837,1.1851,-0.018365
0.93959,0.94333,1.1865,-0.01939
0.92986,0.928,1.1877,-0.020295
0.92089,0.91244,1.1887,-0.02105
0.91336,0.89673,1.1894,-0.021633
0.90763,0.88095,1.1898,-0.022028
0.90357,0.8652,1.19,-0.022233
0.90052,0.84956,1.1899,-0.022256
0.89733,0.83414,1.1896,-0.022113
0.89277,0.81903,1.1891,-0.021824
0.88609,0.80434,1.1884,-0.021409
1.0742,1.1302,1.1803,-0.00086983
1.0762,1.1241,1.1816,-0.0017406
1.0738,1.1176,1.1829,-0.0026345
1.0693,1.1107,1.1843,-0.0035682
1.0627,1.1034,1.1857,-0.0045486
1.0547,1.0954,1.1872,-0.0055731
1.0454,1.0869,1.1888,-0.0066367
1.0353,1.0777,1.1904,-0.0077328
1.0243,1.0678,1.192,-0.008855
1.0124,1.0573,1.1937,-0.009998
0.99877,1.046,1.1954,-0.011158
0.98694,1.0341,1.1971,-0.012306
0.97944,1.0216,1.1988,-0.01327
0.97333,1.0085,1.2004,-0.014058
0.96681,0.99485,1.202,-0.014708
0.95911,0.98073,1.2035,-0.015246
0.95005,0.96619,1.2049,-0.015692
0.94003,0.95129,1.2061,-0.01606
0.92955,0.93609,1.2071,-0.016359
0.91925,0.92068,1.208,-0.016598
0.90981,0.90513,1.2086,-0.016784
0.90172,0.88953,1.209,-0.016921
0.89517,0.87396,1.2091,-0.017013
0.89007,0.85852,1.209,-0.017065
0.88591,0.84331,1.2088,-0.017078
0.88139,0.82842,1.2083,-0.017053
0.87469,0.81396,1.2077,-0.016992
0.97965,0.18975,0,-0.036928
0.98994,0.16658,0,-0.035815
0.99953,0.14471,0,-0.034551
1.0088,0.12424,0,-0.033148
1.0183,0.10527,0,-0.031618
1.0282,0.087843,0,-0.029978
1.0386,0.072021,0,-0.028252
1.0476,0.057818,0,-0.026475
1.047,0.045224,0,-0.024685
1.0314,0.034203,0,-0.022922
1.0292,0.024726,0,-0.021009
1.0793,0.016823,0,-0.018562
1.1887,0.010546,0,-0.015441
1.3331,0.005855,0,-0.011828
1.4782,0.002602,0,-0.0079765
1.5818,0.00065779,0,-0.0040178
1.5883,0,0,0
1.4761,0.00065779,0,0.0040178
1.2959,0.002602,0,0.0079765
1.1051,0.005855,0,0.011828
0.93211,0.010546,0,0.015441
0.80694,0.016823,0,0.018562
0.754,0.024726,0,0.021009
0.76889,0.034203,0,0.022922
0.81028,0.045224,0,0.024685
0.83678,0.057818,0,0.026475
0.84505,0.072021,0,0.028252
0.84572,0.087843,0,0.029978
0.84403,0.10527,0,0.031618
0.84088,0.12424,0,0.033148
0.83689,0.14471,0,0.034551
0.83241,0.16658,0,0.035815
0.82691,0.18975,0,0.036928
0.8196,0.2141,0,0.037873
0.81015,0.23949,0,0.038624
0.79872,0.26579,0,0.039149
0.78578,0.29283,0,0.03941
0.77189,0.32045,0,0.039371
0.7575,0.34848,0,0.039003
0.74255,0.37676,0,0.038293
0.72661,0.4051,0,0.037245
0.71003,0.43334,0,0.035886
0.69659,0.46131,0,0.034259
0.69463,0.48885,0,0.03242
0.71759,0.5158,0,0.030431
0.77369,0.54204,0,0.028347
0.84224,0.56742,0,0.026215
0.89049,0.59183,0,0.024072
0.91673,0.61518,0,0.021939
0.93466,0.63738,0,0.019828
0.95176,0.65836,0,0.017748
0.96897,0.67809,0,0.015702
0.98591,0.69654,0,0.013697
1.0024,0.71372,0,0.011744
1.0185,0.72968,0,0.0098515
1.0338,0.74447,0,0.0080327
1.0484,0.75822,0,0.0062955
1.0612,0.77104,0,0.004644
1.0743,0.78312,0,0.0030657
1.0822,0.79465,0,0.0015307
1.0988,0.8059,0,0
