"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
133, 2.545700073240000e-01, 4.749970791903981e-02, 7.375586625577913e-01, 9.592168579732121e-01, 3.985815294673874e-02, 2.258449336961542e+00
134, 2.684499919410000e-01, 4.805171623622682e-02, 7.398822014131987e-01, 9.601555943210996e-01, 3.646150886782222e-02, 2.264738967349662e+00
135, 2.825500071050000e-01, 4.856223675933466e-02, 7.419601521999177e-01, 9.609684020514001e-01, 3.306989451485246e-02, 2.270354840228713e+00
136, 2.968699932100000e-01, 4.902973636890911e-02, 7.437696984347857e-01, 9.616686856426467e-01, 2.965648829725757e-02, 2.275242175862869e+00
137, 3.113999962810000e-01, 4.945192920658566e-02, 7.452709763164311e-01, 9.622409338160021e-01, 2.619480827101373e-02, 2.279291625061177e+00
138, 3.261100053790000e-01, 4.982572881289250e-02, 7.463431696163072e-01, 9.626633414642242e-01, 2.265970388717434e-02, 2.282182646566448e+00
139, 3.409900069240000e-01, 5.014843529579528e-02, 7.468265181174758e-01, 9.628982266524452e-01, 1.902956548392826e-02, 2.283488398606141e+00
140, 3.560400009160000e-01, 5.041722934144274e-02, 7.468113202401759e-01, 9.629810342883700e-01, 1.528815173475825e-02, 2.283455096410568e+00
141, 3.712300062180000e-01, 5.062852128005071e-02, 7.466908310984522e-01, 9.629314539533479e-01, 1.141843872264522e-02, 2.283105905261901e+00
142, 3.865399956700000e-01, 5.077889820137015e-02, 7.464496589284709e-01, 9.627502453631341e-01, 7.406512344261313e-03, 2.282401882987184e+00
143, 4.019699990750000e-01, 5.086500643043568e-02, 7.442606678792409e-01, 9.621461625720314e-01, 3.241376919500898e-03, 2.276518945814889e+00
144, 4.174999892710000e-01, 5.088319941109272e-02, 7.386314563205552e-01, 9.612566574176794e-01, -1.083223698513960e-03, 2.261665967935618e+00
145, 4.331099987030000e-01, 5.082991529706515e-02, 7.374329751080143e-01, 9.613143729513878e-01, -5.576662116696911e-03, 2.258603966018104e+00
146, 4.487800002100000e-01, 5.070174154785714e-02, 7.617397990777277e-01, 9.655241566939410e-01, -1.029309569368279e-02, 2.322972169779343e+00
147, 4.645099937920000e-01, 5.049517157057059e-02, 8.322527170724561e-01, 9.720712020965562e-01, -1.526608997503371e-02, 2.509204766329168e+00
148, 4.802699983120000e-01, 5.020720046557640e-02, 8.918122745404601e-01, 9.746386772286969e-01, -2.040461630275577e-02, 2.667158818512557e+00
149, 4.960500001910000e-01, 4.983486355715583e-02, 8.993252794851759e-01, 9.754268434148878e-01, -2.569993103792196e-02, 2.687356803392535e+00
150, 5.118399858470000e-01, 4.937541435266084e-02, 8.825171392824569e-01, 9.762259950962433e-01, -3.117124916184560e-02, 2.643140913556261e+00
151, 5.276100039480000e-01, 4.882714122072977e-02, 8.661659888667627e-01, 9.765038544696328e-01, -3.679115700632676e-02, 2.600098062203733e+00
152, 5.433599948880000e-01, 4.818785365214715e-02, 8.592212488657207e-01, 9.765705295574242e-01, -4.254366716322647e-02, 2.581884262173467e+00
153, 5.590599775310000e-01, 4.745704334463085e-02, 8.595989101788765e-01, 9.766283288883704e-01, -4.842128361004153e-02, 2.582987094140276e+00
154, 5.747100114820000e-01, 4.663351819025717e-02, 8.638098740045920e-01, 9.764012921113645e-01, -5.437950187241054e-02, 2.594115424154478e+00
155, 5.902799963950000e-01, 4.571828174324007e-02, 8.697402855683934e-01, 9.758697954959651e-01, -6.038813668694279e-02, 2.609703725455833e+00
156, 6.057599782940000e-01, 4.471210444364649e-02, 8.765909171143118e-01, 9.750165092082220e-01, -6.640484792048110e-02, 2.627648539698425e+00
157, 6.211299896240000e-01, 4.361720028526231e-02, 8.841937056273566e-01, 9.738588573431513e-01, -7.239137650241893e-02, 2.647519939738808e+00
158, 6.363800168040000e-01, 4.243597713876854e-02, 8.923686766484519e-01, 9.724068413227925e-01, -7.830382911011625e-02, 2.668852229282098e+00
159, 6.514999866490000e-01, 4.117163228217693e-02, 9.008703628134254e-01, 9.706447061097908e-01, -8.409332040907312e-02, 2.690995460947682e+00
160, 6.664699912070000e-01, 3.982908520122981e-02, 9.095844140987543e-01, 9.685686899509917e-01, -8.970929676263267e-02, 2.713648188990573e+00
161, 6.812700033190000e-01, 3.841431905515869e-02, 9.184841970026453e-01, 9.661519667972546e-01, -9.509729264496139e-02, 2.736733458290351e+00
162, 6.958900094030001e-01, 3.693330464480289e-02, 9.275773992230805e-01, 9.634043553866599e-01, -1.002053687759407e-01, 2.760276521263942e+00
163, 7.103199958800001e-01, 3.539277861760791e-02, 9.368101749048100e-01, 9.603030956005625e-01, -1.049769952345948e-01, 2.784128611259092e+00
164, 7.245299816130000e-01, 3.380248247003123e-02, 9.461349878562342e-01, 9.568706080735118e-01, -1.093670355534153e-01, 2.808170680489402e+00
165, 7.385200262070000e-01, 3.216961166759597e-02, 9.554889168785398e-01, 9.531054738509527e-01, -1.133249685279912e-01, 2.832234448383131e+00
166, 7.522799968720000e-01, 3.050298446885908e-02, 9.648208216964950e-01, 9.490261855465527e-01, -1.168080176253893e-01, 2.856188150282550e+00
167, 7.657799720760000e-01, 2.881440368068512e-02, 9.740988843960411e-01, 9.447037667170088e-01, -1.197854510475485e-01, 2.879965892047801e+00
168, 7.790099978450000e-01, 2.711370484930257e-02, 9.832253285097244e-01, 9.400727862783341e-01, -1.222125227927368e-01, 2.903285358085778e+00
169, 7.919700145720000e-01, 2.540961288979687e-02, 9.922130307126751e-01, 9.352761879108970e-01, -1.240772554249779e-01, 2.926219084404426e+00
170, 8.046399950980000e-01, 2.371353305319891e-02, 1.000975605793682e+00, 9.303290078783922e-01, -1.253614696140112e-01, 2.948536289027726e+00
171, 8.170099854470000e-01, 2.203548661683393e-02, 1.009439959666120e+00, 9.252587323797660e-01, -1.260584379633068e-01, 2.970044658838595e+00
