"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          94,      -6.013063432,      -4.662715989,      -5.028621264,      -4.460452431,      -8.549086999
          0,           0,          95,      -6.040647293,       -4.66995845,      -5.037228486,      -4.478199738,      -8.523374165
          0,           0,          96,      -6.065805808,      -4.676945171,      -5.046490676,      -4.493220323,      -8.497995654
          0,           0,          97,      -6.084467769,      -4.683540814,      -5.056632562,       -4.50333246,      -8.473056913
          0,           0,          98,      -6.094051699,      -4.689559229,      -5.067749453,      -4.507554161,      -8.448651506
          0,           0,          99,      -6.094693533,      -4.694775446,      -5.079767952,      -4.506455613,      -8.424894179
          0,           0,         100,      -6.089027255,      -4.698956163,      -5.092423321,      -4.501827997,      -8.401881255
          0,           0,         101,      -6.080712439,      -4.701901645,      -5.105265743,      -4.495900737,      -8.379650002
          0,           0,         102,      -6.072994354,      -4.703488968,      -5.117713256,      -4.490633937,      -8.358167952
          0,           0,         103,      -6.068038356,       -4.70370533,      -5.129147535,      -4.487363825,      -8.337379877
          0,           0,         104,      -6.066886851,      -4.702658739,       -5.13902967,      -4.486749691,      -8.317180724
          0,           0,         105,      -6.069670409,      -4.700562778,      -5.147005863,      -4.488869212,      -8.297443697
          0,           0,         106,      -6.075866205,      -4.697700849,      -5.152972192,      -4.493360874,      -8.278035714
          0,           0,         107,        -6.0845422,       -4.69438562,      -5.157075689,      -4.499574299,      -8.258822581
          0,           0,         108,      -6.094590921,       -4.69091542,      -5.159658915,      -4.506727393,      -8.239667881
          0,           0,         109,      -6.104951247,      -4.687546426,      -5.161170069,      -4.514063246,      -8.220435837
          0,           0,         110,      -6.114826946,      -4.684479682,      -5.162067068,      -4.520996669,      -8.201013536
          0,           0,         111,      -6.123868137,      -4.681860084,      -5.162749127,      -4.527220625,      -8.181332669
          0,           0,         112,      -6.132235985,      -4.679783004,      -5.163515903,       -4.53273914,      -8.161333235
          0,           0,         113,      -6.140508975,       -4.67830163,      -5.164552064,      -4.537816477,      -8.141020818
          0,           0,         114,      -6.149467848,      -4.677433614,      -5.165932829,      -4.542863071,      -8.120466057
          0,           0,         115,      -6.159855061,      -4.677171291,      -5.167652432,      -4.548299383,      -8.099756342
          0,           0,         116,      -6.172169341,      -4.677490766,      -5.169664654,      -4.554431605,      -8.079000846
          0,           0,         117,       -6.18651342,      -4.678362244,      -5.171926974,      -4.561362359,      -8.058307815
          0,           0,         118,      -6.202489778,      -4.679758802,      -5.174432697,      -4.568954751,      -8.037778315
          0,           0,         119,      -6.219138351,      -4.681660405,      -5.177222097,      -4.576838703,      -8.017492717
          0,           0,         120,      -6.234968877,      -4.684054788,      -5.180373024,       -4.58447047,      -7.997513253
