Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
171,1.16327,237700,0,-192.424,3.76452e-08,192.424,0.102429,37.8484,12.072,6.33339,40.2287,0.00351539,0,0.735004,0.735012,94800.5,-0.1196,283.898,32.5366,10.3776,5.44448,34.5827
172,1.1614,236219,0,-197.766,3.76452e-08,197.766,0.103535,38.6405,11.0856,4.9619,40.5043,0.0033373,0,0.755411,0.755418,94203.8,-0.130539,282.564,33.2762,9.54547,4.27175,34.8808
173,1.15655,235431,0,-203.109,3.76452e-08,203.109,0.109809,39.9968,14.3131,5.07919,42.7833,0.00315921,0,0.775818,0.775825,93854.4,-0.136944,282.696,34.5849,12.3756,4.39136,36.994
174,1.15051,233899,0,-208.451,3.76452e-08,208.451,0.113913,40.9843,15.5292,5.07964,44.1211,0.00298111,0,0.796226,0.796231,93219.3,-0.148585,282.258,35.6306,13.499,4.41444,38.3569
175,1.14743,233147,0,-213.794,3.76452e-08,213.794,0.114597,41.6523,14.2177,4.57212,44.2489,0.00280302,0,0.816633,0.816638,92915.9,-0.154148,282.095,36.306,12.3904,3.98482,38.5685
176,1.14317,231703,0,-219.137,3.76452e-08,219.137,0.115688,42.2884,12.9343,4.51871,44.4525,0.00262493,0,0.837041,0.837045,92333.5,-0.164824,281.369,37.0055,11.3183,3.9529,38.899
177,1.14158,230708,0,-224.479,3.76452e-08,224.479,0.116782,43.0079,11.6534,4.06484,44.7438,0.00244684,0,0.857448,0.857452,91930.8,-0.172206,280.534,37.6765,10.208,3.56052,39.1969
178,1.13805,229736,0,-229.822,3.76452e-08,229.822,0.119227,43.8721,11.7022,3.09963,45.5116,0.00226874,0,0.877855,0.877858,91528.5,-0.179579,280.172,38.5564,10.2826,2.72308,39.9968
179,1.12858,228447,0,-235.165,3.76452e-08,235.165,0.122496,44.6206,12.4956,2.93114,46.4298,0.00209065,0,0.898263,0.898265,90994.8,-0.189363,280.876,39.5438,11.0721,2.5968,41.1466
180,1.12329,227576,0,-240.507,3.76452e-08,240.507,0.125808,45.5341,13.3481,1.57188,47.4763,0.00191256,0,0.91867,0.918672,90627.2,-0.1961,281.059,40.5402,11.8828,1.39926,42.269
181,1.11924,225685,0,-245.85,3.76452e-08,245.85,0.130399,46.5625,14.7658,2.48917,48.9111,0.00173447,0,0.939078,0.939079,89844.6,-0.210448,279.64,41.6032,13.1927,2.22403,43.7015
182,1.11722,224573,0,-251.193,3.76452e-08,251.193,0.131746,47.2419,13.569,2.88748,49.2367,0.00155637,0,0.959485,0.959486,89393.3,-0.218721,278.739,42.2858,12.1453,2.58446,44.0712
183,1.11087,223281,0,-256.535,3.76452e-08,256.535,0.133178,47.7994,12.656,2.11951,49.4919,0.00137828,0,0.979892,0.979893,88869.3,-0.228325,278.687,43.0305,11.3926,1.90787,44.554
184,1.09722,221351,0,-261.878,3.76452e-08,261.878,0.139796,48.7477,16.1782,1.83802,51.395,0.00120019,0,1.0003,1.0003,88056.7,-0.243221,279.575,44.4336,14.7447,1.67513,46.8461
185,1.09332,220526,0,-267.22,3.76452e-08,267.22,0.142391,49.5206,16.1808,2.33137,52.1492,0.0010221,0,1.02071,1.02071,87710.6,-0.249566,279.469,45.296,14.7995,2.13195,47.7001
186,1.08998,218468,0,-272.563,3.76452e-08,272.563,0.147137,50.4056,16.9669,6.21307,53.5463,0.000844003,0,1.04111,1.04111,86858.4,-0.265186,277.602,46.2496,15.5665,5.69979,49.1307
187,1.08811,217123,0,-277.906,-1.5482e-08,277.906,0.148532,51.0391,15.6294,7.06356,53.8439,0.000665911,0,1.06152,1.06152,86313.6,-0.275173,276.335,46.9076,14.3638,6.49151,49.4852
188,1.07392,215720,0,-283.248,-1.5482e-08,283.248,0.156138,51.8053,18.838,9.88709,56.0037,0.000487818,0,1.08193,1.08193,85701.1,-0.286401,278.001,48.241,17.541,9.20657,52.1502
189,1.08237,215082,0,-288.591,-1.5482e-08,288.591,0.157826,52.5103,15.2789,15.1791,56.7554,0.000309726,0,1.10234,1.10234,85434.6,-0.291287,274.97,48.5222,14.1169,14.0232,52.4437
190,1.16885,238984,0,-122.924,2.45762e-09,122.924,0.0726403,18.4785,21.9322,-0.434827,28.6822,-0.0139763,5.42101e-20,0.469535,0.469743,95452.6,-0.107647,284.485,15.8083,18.7649,-0.372293,24.539
191,1.16629,238288,0,-128.267,-5.16637e-09,128.267,0.0776644,19.3334,23.7088,0.0606163,30.5923,-0.0141544,5.42101e-20,0.489942,0.490147,95154.6,-0.11311,284.22,16.5762,20.329,0.0518961,26.2305
192,1.16407,237155,0,-133.609,-5.16637e-09,133.609,0.0817044,20.1274,24.9564,0.997492,32.0769,-0.0143325,5.42101e-20,0.51035,0.510551,94685.1,-0.121716,283.356,17.2897,21.4394,0.856826,27.5557
193,1.16278,236164,0,-138.952,-5.16637e-09,138.952,0.0833322,20.8046,25.0608,1.79595,32.6206,-0.0145106,5.42101e-20,0.530757,0.530955,94282.4,-0.129097,282.463,17.891,21.5534,1.54426,28.0539
194,1.15926,235601,0,-144.294,-1.23092e-08,144.294,0.0904669,21.7449,27.7781,1.6423,35.3151,-0.0146887,0,0.551164,0.55136,94025,-0.133816,282.548,18.7572,23.9622,1.4166,30.4635
