Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
3353,1.31706,279030,0,122.986,-31.9248,127.062,0.146156,0.397058,65.0024,-11.4891,66.0112,0.0132967,-0.121944,-0.469773,0.485524,110949,0.176414,293.42,0.302407,49.4147,-8.71646,50.1785
3354,1.30922,279768,0,128.329,-31.9325,132.242,0.175728,0.372497,78.0562,-12.6486,79.0753,0.0131186,-0.121973,-0.49018,0.505298,110949,0.176414,295.13,0.284925,59.6976,-9.71513,60.4836
3355,1.31065,279675,0,133.672,-31.9072,137.427,0.171667,0.394402,76.3161,-12.9975,77.416,0.0129404,-0.121877,-0.510588,0.525092,110949,0.176414,294.84,0.30117,58.1262,-10.0068,58.9821
3356,1.36971,295808,0,133.672,-32.1338,137.48,0.186069,0.391894,87.9764,-6.27973,88.2011,0.0129413,-0.122742,-0.510588,0.525293,117186,0.29075,298.032,0.286156,64.2127,-4.59982,64.3779
3357,1.31641,279490,0,139.014,-31.8743,142.622,0.164612,0.408618,72.9828,-14.8517,74.4797,0.0127622,-0.121751,-0.530995,0.544924,110949,0.176414,293.59,0.310611,55.4166,-11.2813,56.5541
3358,1.31256,279791,0,144.357,-31.8871,147.837,0.176225,0.424756,78.6716,-12.3121,79.6303,0.0125841,-0.1218,-0.551402,0.564835,110949,0.176414,294.432,0.32436,59.8956,-9.37237,60.6253
3359,1.31579,279618,0,149.699,-31.8704,153.054,0.169893,0.427829,75.4302,-14.6602,76.8428,0.012406,-0.121736,-0.57181,0.584756,110949,0.176414,293.708,0.325689,57.2994,-11.1415,58.3734
3360,1.36497,295643,0,149.699,-32.1338,153.109,0.180634,0.328513,84.1164,-15.2609,85.4901,0.0124071,-0.122742,-0.57181,0.584967,117186,0.29075,299.067,0.24082,61.6174,-11.1803,62.624
3361,1.31357,279411,0,155.042,-31.8844,158.287,0.161754,0.50885,72.8352,-6.28609,73.1077,0.012228,-0.121789,-0.592217,0.604734,110949,0.176414,294.203,0.38798,55.4082,-4.80043,55.6171
3362,1.30883,280595,0,158.232,-31.8274,161.401,0.200521,0.482592,90.035,-9.2642,90.5117,0.0121214,-0.121572,-0.604402,0.616626,110949,0.176414,295.298,0.368827,68.7472,-7.07263,69.111
