Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
55,0.992525,0,78.9959,-0,1.67035e-07,0,0,0,0,0,0,0.37708,-0.058179,0,0.381542,31.5984,-0.295334,0.00587561,0.000182393,0,0.00587844,1.00285,0,0,0,0,0.548115
56,0.992401,0,78.9821,-0,1.67028e-07,0,0,0,0,0,0,0.358747,-0.0586915,0,0.363516,31.5928,-0.30639,0.00593294,0.000146935,0,0.00593476,1.00279,0,0,0,0,0.550782
57,0.99228,0,78.9686,-0,1.67022e-07,0,0,0,0,0,0,0.340792,-0.0590777,0,0.345875,31.5874,-0.317208,0.00599095,0.000108881,0,0.00599194,1.00275,0,0,0,0,0.553486
58,0.992162,0,78.9554,-0,1.67016e-07,0,0,0,0,0,0,0.323253,-0.0593366,0,0.328654,31.5822,-0.327733,0.00604905,6.81453e-05,0,0.00604943,1.0027,0,0,0,0,0.556202
59,0.992047,0,78.9427,-0,1.6701e-07,0,0,0,0,0,0,0.306164,-0.0594678,0,0.311885,31.5771,-0.337909,0.00610677,2.46617e-05,0,0.00610682,1.00265,0,0,0,0,0.558912
60,0.991936,0,78.9305,-0,1.67004e-07,0,0,0,0,0,0,0.289554,-0.0594727,0,0.295599,31.5722,-0.34768,0.00616373,-2.1617e-05,0,0.00616376,1.00261,0,0,0,0,0.561601
61,0.99183,0,78.9188,-0,1.66999e-07,0,0,0,0,0,0,0.27345,-0.0593531,0,0.279817,31.5675,-0.356993,0.0062196,-7.07215e-05,0,0.00622,1.00257,0,0,0,0,0.564259
62,0.991729,0,78.9078,-0,1.66994e-07,0,0,0,0,0,0,0.257873,-0.0591124,0,0.264562,31.5631,-0.365797,0.00627411,-0.000122672,0,0.00627531,1.00253,0,0,0,0,0.566876
63,0.991633,0,78.8975,-0,1.6699e-07,0,0,0,0,0,0,0.242841,-0.0587546,0,0.249848,31.559,-0.374046,0.00632701,-0.000177479,0,0.0063295,1.0025,0,0,0,0,0.569446
64,0.991543,0,78.888,-0,1.66986e-07,0,0,0,0,0,0,0.228367,-0.0582847,0,0.235687,31.5552,-0.381697,0.00637805,-0.000235144,0,0.00638238,1.00247,0,0,0,0,0.571962
65,0.991459,0,78.8792,-0,1.66982e-07,0,0,0,0,0,0,0.214459,-0.0577083,0,0.222088,31.5517,-0.388712,0.00642701,-0.000295665,0,0.0064338,1.00244,0,0,0,0,0.574419
66,0.991381,0,78.8713,-0,1.6698e-07,0,0,0,0,0,0,0.201125,-0.0570315,0,0.209054,31.5485,-0.395059,0.00647369,-0.000359036,0,0.00648364,1.00242,0,0,0,0,0.576813
67,0.99131,0,78.8642,-0,1.66977e-07,0,0,0,0,0,0,0.188365,-0.0562611,0,0.196588,31.5457,-0.400706,0.00651794,-0.000425254,0,0.0065318,1.0024,0,0,0,0,0.579143
68,0.991246,0,78.858,-0,1.66975e-07,0,0,0,0,0,0,0.17618,-0.055404,0,0.184686,31.5432,-0.40563,0.00655966,-0.000494326,0,0.00657826,1.00239,0,0,0,0,0.581409
69,0.991189,0,78.8528,-0,1.66974e-07,0,0,0,0,0,0,0.164564,-0.0544675,0,0.173344,31.5411,-0.409808,0.00659884,-0.000566268,0,0.0066231,1.00238,0,0,0,0,0.583617
70,0.991139,0,78.8486,-0,1.66974e-07,0,0,0,0,0,0,0.153511,-0.0534588,0,0.162553,31.5394,-0.413218,0.00663554,-0.00064112,0,0.00666644,1.00237,0,0,0,0,0.585776
71,0.991096,0,78.8453,-0,1.66974e-07,0,0,0,0,0,0,0.143013,-0.0523852,0,0.152305,31.5381,-0.415842,0.00666989,-0.000718947,0,0.00670852,1.00238,0,0,0,0,0.587896
72,0.991061,0,78.843,-0,1.66975e-07,0,0,0,0,0,0,0.133057,-0.051254,0,0.142588,31.5372,-0.41766,0.00670209,-0.000799845,0,0.00674964,1.00238,0,0,0,0,0.589995
73,0.991033,0,78.8418,-0,1.66977e-07,0,0,0,0,0,0,0.123632,-0.0500722,0,0.133387,31.5367,-0.418652,0.00673239,-0.00088395,0,0.00679017,1.00239,0,0,0,0,0.59209
74,0.991013,0,78.8416,-0,1.66979e-07,0,0,0,0,0,0,0.114722,-0.0488466,0,0.124688,31.5366,-0.418792,0.00676107,-0.000971431,0,0.0068305,1.00241,0,0,0,0,0.5942
75,0.991002,0,78.8425,-0,1.66982e-07,0,0,0,0,0,0,0.106312,-0.0475837,0,0.116475,31.537,-0.418055,0.0067884,-0.0010625,0,0.00687104,1.00244,0,0,0,0,0.596347
76,0.990998,0,78.8446,-0,1.66986e-07,0,0,0,0,0,0,0.0983855,-0.0462897,0,0.108731,31.5378,-0.416408,0.00681462,-0.00115741,0,0.00691221,1.00247,0,0,0,0,0.59855
77,0.991004,0,78.8478,-0,1.6699e-07,0,0,0,0,0,0,0.0909249,-0.0449703,0,0.101438,31.5391,-0.413813,0.00683992,-0.00125644,0,0.00695436,1.0025,0,0,0,0,0.600828
78,0.991019,0,78.8523,-0,1.66996e-07,0,0,0,0,0,0,0.0839123,-0.0436311,0,0.0945777,31.5409,-0.410226,0.00686441,-0.0013599,0,0.00699782,1.00254,0,0,0,0,0.603197
79,0.991044,0,78.8581,-0,1.67002e-07,0,0,0,0,0,0,0.0773296,-0.042277,0,0.0881318,31.5432,-0.405595,0.00688809,-0.00146815,0,0.00704281,1.00259,0,0,0,0,0.605669
80,0.991079,0,78.8653,-0,1.67009e-07,0,0,0,0,0,0,0.0711583,-0.0409126,0,0.0820814,31.5461,-0.39986,0.0069108,-0.00158151,0,0.00708945,1.00265,0,0,0,0,0.608255
81,0.991127,0,78.8739,-0,1.67017e-07,0,0,0,0,0,0,0.0653801,-0.0395424,0,0.0764078,31.5496,-0.392949,0.00693224,-0.00170035,0,0.00713773,1.00271,0,0,0,0,0.610955
82,0.991187,0,78.8841,-0,1.67026e-07,0,0,0,0,0,0,0.0599767,-0.03817,0,0.0710925,31.5536,-0.384783,0.00695192,-0.001825,0,0.00718748,1.00278,0,0,0,0,0.613768
83,0.991262,0,78.896,-0,1.67036e-07,0,0,0,0,0,0,0.05493,-0.036799,0,0.0661171,31.5584,-0.375271,0.00696913,-0.00195574,0,0.00723835,1.00285,0,0,0,0,0.616683
84,0.991352,0,78.9097,-0,1.67047e-07,0,0,0,0,0,0,0.0502224,-0.0354327,0,0.0614635,31.5639,-0.364308,0.00698293,-0.00209282,0,0.0072898,1.00294,0,0,0,0,0.619681
85,0.99146,0,78.9254,-0,1.67058e-07,0,0,0,0,0,0,0.0458366,-0.0340737,0,0.057114,31.5701,-0.351778,0.00699214,-0.00223637,0,0.00734108,1.00303,0,0,0,0,0.622737
86,0.991586,0,78.9431,-0,1.67071e-07,0,0,0,0,0,0,0.0417559,-0.0327247,0,0.0530515,31.5773,-0.337558,0.00699534,-0.00238643,0,0.0073912,1.00312,0,0,0,0,0.625815
87,0.991735,0,78.9632,-0,1.67084e-07,0,0,0,0,0,0,0.0379639,-0.031388,0,0.0492591,31.5853,-0.321497,0.00699085,-0.00254288,0,0.00743897,1.00323,0,0,0,0,0.628873
88,0.991907,0,78.9858,-0,1.67099e-07,0,0,0,0,0,0,0.0344451,-0.0300655,0,0.0457209,31.5943,-0.303448,0.0069768,-0.0027054,0,0.00748298,1.00334,0,0,0,0,0.631857
89,0.992105,0,79.011,-0,1.67115e-07,0,0,0,0,0,0,0.0311843,-0.0287591,0,0.0424211,31.6044,-0.28325,0.00695114,-0.00287347,0,0.00752165,1.00346,0,0,0,0,0.634711
90,0.992332,0,79.0392,-0,1.67131e-07,0,0,0,0,0,0,0.0281672,-0.0274703,0,0.0393448,31.6157,-0.26071,0.00691167,-0.00304635,0,0.00755324,1.00359,0,0,0,0,0.637369
91,0.992589,0,79.0705,-0,1.67149e-07,0,0,0,0,0,0,0.02538,-0.0262008,0,0.0364777,31.6282,-0.235675,0.00685623,-0.00322302,0,0.007576,1.00373,0,0,0,0,0.639766
92,0.99288,0,79.1051,-0,1.67168e-07,0,0,0,0,0,0,0.0228094,-0.0249517,0,0.0338062,31.6421,-0.207955,0.00678286,-0.00340231,0,0.00758834,1.00387,0,0,0,0,0.641843
93,0.993207,0,79.1434,-0,1.67188e-07,0,0,0,0,0,0,0.020443,-0.0237244,0,0.0313171,31.6574,-0.177343,0.00668998,-0.00358295,0,0.00758903,1.00403,0,0,0,0,0.643556
94,0.99357,0,79.1855,-0,1.67209e-07,0,0,0,0,0,0,0.0182689,-0.0225199,0,0.0289982,31.6742,-0.143691,0.00657693,-0.00376376,0,0.00757772,1.00419,0,0,0,0,0.644894
95,0.993971,0,79.2314,-0,1.67232e-07,0,0,0,0,0,0,0.0162755,-0.0213394,0,0.0268377,31.6926,-0.106935,0.00644449,-0.00394417,0,0.00755566,1.00437,0,0,0,0,0.645916
96,0.994413,0,79.2815,-0,1.67256e-07,0,0,0,0,0,0,0.0144522,-0.020184,0,0.0248246,31.7126,-0.0668271,0.00629475,-0.0041246,0,0.00752571,1.00456,0,0,0,0,0.64675
97,0.994898,0,79.3358,-0,1.67282e-07,0,0,0,0,0,0,0.0127887,-0.0190547,0,0.0229485,31.7343,-0.0234107,0.00613117,-0.00430624,0,0.00749232,1.00476,0,0,0,0,0.647593
98,0.995425,0,79.3942,-0,1.67309e-07,0,0,0,0,0,0,0.0112752,-0.0179526,0,0.0211997,31.7577,0.0232953,0.00595791,-0.00449132,0,0.00746114,1.00496,0,0,0,0,0.648706
99,0.996001,0,79.4568,-0,1.67336e-07,0,0,0,0,0,0,0.00990228,-0.0168788,0,0.0195691,31.7827,0.0733392,0.00577816,-0.00468211,0,0.00743702,1.00517,0,0,0,0,0.65031
100,0.996624,0,79.523,-0,1.67363e-07,0,0,0,0,0,0,0.00866098,-0.0158343,0,0.0180482,31.8092,0.126318,0.00559311,-0.00487933,0,0.00742232,1.00538,0,0,0,0,0.652538
101,0.997296,0,79.5927,-0,1.67389e-07,0,0,0,0,0,0,0.00754279,-0.0148204,0,0.0166295,31.8371,0.182089,0.00540106,-0.00508162,0,0.00741582,1.00559,0,0,0,0,0.655359
102,0.998014,0,79.6652,-0,1.67414e-07,0,0,0,0,0,0,0.00653926,-0.0138381,0,0.0153054,31.8661,0.240111,0.00519769,-0.00528398,0,0.00741191,1.00578,0,0,0,0,0.658544
103,0.998774,0,79.7399,-0,1.67437e-07,0,0,0,0,0,0,0.00564249,-0.0128886,0,0.0140696,31.8959,0.299828,0.00497753,-0.00547849,0,0.00740201,1.00596,0,0,0,0,0.661737
104,0.999567,0,79.8158,-0,1.67457e-07,0,0,0,0,0,0,0.00484455,-0.0119728,0,0.0129158,31.9263,0.360536,0.00473561,-0.00565514,0,0.00737608,1.00611,0,0,0,0,0.664495
