"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        520,           9,      -8.301036497,      -4.349631661,      -4.996506725,      -2.455933866,      -3.351077954,      0.9329898399,      0.3487100859,      0.8573462814,                 0,                 0,                 0,     0.08993043015,     0.08280931981,      0.9218372887,                 0,       2.458621978,      0.7339503215,      -2.997749174,       -1.77648407,      -2.548332577,       -2.64434243,      -2.290759652,      0.8885617523,      0.3308718451,      0.8231537924,                 0,                 0,                 0,      0.1067583341,     0.07574744154,       0.883923452,                 0,       2.365784523,      0.7266253459,    0.003920801391,     0.01573510918
        521,           9,      -8.360823678,      -4.323121342,      -5.014440462,      -2.462975971,      -3.346251145,      0.9329898399,      0.3421594867,      0.8235913241,                 0,                 0,                 0,     0.07610087338,     0.08641394504,      0.8876420526,                 0,       2.407039279,      0.7298652694,      -3.056908013,      -1.751395232,      -2.568312138,      -2.651066321,      -2.286091769,      0.8905812108,       0.333502713,      0.8339882586,                 0,                 0,                 0,      0.1098990855,     0.07509566172,      0.8950536949,                 0,       2.383600527,      0.7263616424,     0.00368946334,     0.01498781902
        522,           9,      -8.296291651,       -4.25132872,      -4.950219485,       -2.38773726,      -3.358811397,      0.9329898399,      0.3355805015,      0.7889372687,                 0,                 0,                 0,     0.06313811678,     0.09025429544,      0.8525787055,                 0,        2.35096278,      0.7049219162,       -2.99240473,      -1.681219045,      -2.506624468,      -2.575995771,      -2.298017893,      0.8924250643,      0.3358448393,      0.8434851043,                 0,                 0,                 0,      0.1124867009,      0.0745588392,       0.904820345,                 0,       2.399121591,      0.7260734438,    0.003456605193,     0.01415086158
        523,           9,      -8.334026319,      -4.236994094,      -4.970019314,      -2.382502028,      -3.367894276,      0.9329898399,      0.3289695457,      0.7541536584,                 0,                 0,                 0,     0.05099277603,     0.09410195038,      0.8173821171,                 0,       2.292472566,       0.692867853,      -3.031033763,      -1.668474002,      -2.528914577,      -2.571412937,      -2.307133692,      0.8941152633,      0.3378835224,      0.8515585763,                 0,                 0,                 0,      0.1144893285,     0.07414798685,      0.9131370979,                 0,       2.412293075,      0.7257670029,    0.003216502289,     0.01321384243
        524,           9,      -8.304962698,      -4.192603736,      -5.009980259,      -2.351899936,      -3.397612095,      0.9329898399,      0.3231695009,      0.7213943366,                 0,                 0,                 0,     0.04076859316,     0.09813323869,      0.7843584529,                 0,       2.232247581,      0.6795639829,      -3.003450475,      -1.625134532,      -2.570900157,      -2.541680855,      -2.337069055,      0.8956702463,       0.339607632,       0.858144767,                 0,                 0,                 0,      0.1158880957,     0.07387114518,      0.9199395843,                 0,       2.423076624,      0.7254318641,    0.002965877715,     0.01217416093
        525,           9,      -8.195573562,      -4.143809171,      -4.977638097,      -2.295559914,      -3.404205844,      0.9329898399,      0.3180892253,      0.6920602409,                 0,                 0,                 0,     0.03241389049,      0.1018514066,      0.7548207889,                 0,       2.175679607,      0.6325832127,      -2.895519614,      -1.576593359,      -2.540055415,      -2.485969296,      -2.343531453,      0.8971056153,      0.3410106871,      0.8632050602,                 0,                 0,                 0,      0.1166781566,     0.07373340698,      0.9251889803,                 0,       2.431453712,      0.7250393269,    0.002703305638,     0.01103562082
        526,           9,      -8.167025726,      -4.122471096,      -4.888370682,       -2.25026275,      -3.446209669,      0.9329898399,      0.3135552405,      0.6662040828,                 0,                 0,                 0,     0.02566738319,      0.1050751443,       0.728768813,                 0,       2.124678515,      0.6550529072,      -2.867547995,      -1.554779821,      -2.451935042,      -2.440545981,      -2.385469067,      0.8984346607,      0.3420915786,      0.8667280083,                 0,                 0,                 0,       0.116868751,     0.07373705831,      0.9288740145,                 0,       2.437428127,      0.7245473947,    0.002428812804,    0.009807136789
        527,           9,      -8.166691338,       -4.14592527,      -4.886007445,      -2.254641304,      -3.305568323,      0.9329898399,       0.309851109,      0.6437457635,                 0,                 0,                 0,     0.01987511097,      0.1080990429,      0.7062088322,                 0,       2.077597093,      0.6550529072,      -2.866512004,      -1.577735055,      -2.450927484,      -2.444070625,      -2.245311328,      0.8996687742,      0.3428549086,      0.8687297311,                 0,                 0,                 0,      0.1164823969,     0.07388178731,      0.9310114476,                 0,        2.44102777,      0.7239028892,    0.002143598312,    0.008501692131
        528,           9,      -8.236514686,      -4.172972004,      -4.993264935,      -2.296334364,       -3.21621669,      0.9329898399,      0.3072757609,      0.6263666068,                 0,                 0,                 0,     0.01599693894,       0.110717399,      0.6888361031,                 0,        2.03845108,      0.6362368011,      -2.934735575,      -1.604961366,      -2.559822925,      -2.484615587,      -2.157046754,      0.9008177765,      0.3433108564,      0.8692528513,                 0,                 0,                 0,      0.1155532874,      0.0741648668,      0.9316450162,                 0,       2.442306147,      0.7230500554,    0.001849838351,    0.007135601666
        529,           9,      -8.206568664,      -4.191406302,      -4.907205688,      -2.317263771,      -3.184598361,      0.9329898399,      0.3052869722,      0.6136819232,                 0,                 0,                 0,     0.01329270875,      0.1125241534,      0.6761242143,                 0,       2.010180515,      0.6543425165,      -2.903007657,      -1.624526584,      -2.475514936,      -2.504483616,      -2.125893504,      0.9018901786,      0.3434746365,      0.8683640353,                 0,                 0,                 0,      0.1141250337,     0.07458135515,      0.9308429219,                 0,        2.44134288,      0.7219443972,    0.001550546968,    0.005905689467
