,Points_0,Pressure_Coefficient,,,,,,x/c,Cp
1,0.0744,-0.653989,,,,,,-0.9256,-0.653989
1,0.09181,-0.715092,,,,,,-0.90819,-0.715092
1,0.11085,-0.767653,,,,,,-0.88915,-0.767653
1,0.13144,-0.811967,,,,,,-0.86856,-0.811967
1,0.15349,-0.85459,,,,,,-0.84651,-0.85459
1,0.17693,-0.891997,,,,,,-0.82307,-0.891997
1,0.20166,-0.92507,,,,,,-0.79834,-0.92507
1,0.22757,-0.956351,,,,,,-0.77243,-0.956351
1,0.25457,-0.981997,,,,,,-0.74543,-0.981997
1,0.28255,-1.00273,,,,,,-0.71745,-1.00273
1,0.3114,-1.02136,,,,,,-0.6886,-1.02136
1,0.34099,-1.03918,,,,,,-0.65901,-1.03918
1,0.37123,-1.05579,,,,,,-0.62877,-1.05579
1,0.40197,-1.06922,,,,,,-0.59803,-1.06922
1,0.43311,-1.08196,,,,,,-0.56689,-1.08196
1,0.46451,-1.09432,,,,,,-0.53549,-1.09432
1,0.49605,-1.10394,,,,,,-0.50395,-1.10394
1,0.52761,-1.11108,,,,,,-0.47239,-1.11108
1,0.55906,-1.11112,,,,,,-0.44094,-1.11112
1,0.59028,-1.11424,,,,,,-0.40972,-1.11424
1,0.62113,-0.918507,,,,,,-0.37887,-0.918507
1,0.6515,0.0324975,,,,,,-0.3485,0.0324975
1,0.68127,-0.00980952,,,,,,-0.31873,-0.00980952
1,0.71032,-0.00270977,,,,,,-0.28968,-0.00270977
1,0.73852,0.00128098,,,,,,-0.26148,0.00128098
1,0.76578,0.0122382,,,,,,-0.23422,0.0122382
1,0.79197,0.0266307,,,,,,-0.20803,0.0266307
1,0.81701,0.0438253,,,,,,-0.18299,0.0438253
1,0.84077,0.0632883,,,,,,-0.15923,0.0632883
1,0.86318,0.0847949,,,,,,-0.13682,0.0847949
1,0.88415,0.108172,,,,,,-0.11585,0.108172
1,0.90358,0.13337,,,,,,-0.09642,0.13337
1,0.9214,0.160451,,,,,,-0.0786,0.160451
1,0.93754,0.189561,,,,,,-0.06246,0.189561
1,0.95194,0.220981,,,,,,-0.04806,0.220981
1,0.96454,0.255166,,,,,,-0.03546,0.255166
1,0.97528,0.292875,,,,,,-0.02472,0.292875
1,0.98413,0.335629,,,,,,-0.01587,0.335629
1,0.99105,0.386761,,,,,,-0.00895,0.386761
1,0.99602,0.456829,,,,,,-0.00398,0.456829
1,0.999,0.567944,,,,,,-0.001,0.567944
