"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         22,           9,      -7.471195031,      -4.292508396,      -4.603419636,      -2.011795886,      -3.378500187,      0.9329898399,      0.3426182553,        1.38547131,                 0,                 0,                 0,      0.1538809907,      0.1959201698,       1.413694912,                 0,       4.043775508,       1.006554828,     -0.5627729166,     -0.6142440247,     -0.4897603571,     -0.6917194656,      -1.083566296,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,           9,       -7.42680992,       -4.26734848,      -4.579194875,      -1.970195004,      -3.379134849,      0.9329898399,      0.3370889675,       1.377843132,                 0,                 0,                 0,      0.1791791248,      0.1912185336,       1.405530555,                 0,       4.087476202,         1.0027939,     -0.5884049641,     -0.6387998333,      -0.495328167,     -0.7187741489,      -1.095056692,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,           9,      -7.387005633,      -4.245030328,      -4.551226349,      -1.933956844,      -3.317562662,      0.9329898399,      0.3279109839,       1.356766672,                 0,                 0,                 0,      0.2042894787,       0.184293918,       1.383610193,                 0,       4.137606662,       1.001540366,     -0.6092446354,     -0.6610547043,     -0.4966568569,     -0.7415545754,      -1.054814947,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,           9,      -7.357847634,      -4.224486464,      -4.524227547,      -1.907821063,      -3.291394286,      0.9329898399,      0.3147518296,       1.318979534,                 0,                 0,                 0,      0.2252508217,      0.1751566824,       1.344654551,                 0,       4.190538099,      0.9962094083,     -0.6300104718,     -0.6787099569,     -0.4968437759,     -0.7634288311,      -1.054599484,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,           9,      -7.332179518,      -4.202476935,      -4.502070793,      -1.883119934,      -3.253504073,      0.9329898399,       0.296793798,       1.258134174,                 0,                 0,                 0,      0.2360748857,      0.1636570987,       1.282265383,                 0,       4.239085123,       0.989870245,     -0.6450250302,     -0.6882959512,     -0.4989276616,     -0.7773902543,      -1.040042901,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,           9,      -7.298427911,      -4.175458766,      -4.475892472,      -1.848918409,       -3.22900818,      0.9329898399,      0.2731891245,       1.165326991,                 0,                 0,                 0,      0.2300888147,      0.1498827263,       1.187499247,                 0,       4.265641954,      0.9809979179,     -0.6444276581,     -0.6863297006,     -0.4930641704,      -0.774196734,      -1.031062043,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,           9,      -7.273360989,      -4.146388986,      -4.426447316,      -1.817621796,      -3.233391685,      0.9329898399,      0.2454656558,       1.037840078,                 0,                 0,                 0,      0.2064354055,      0.1356371408,       1.057812829,                 0,       4.228045974,       0.812564425,      -0.644039611,     -0.6757836729,     -0.4584455709,     -0.7659341652,      -1.043995554,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,           9,      -7.282598474,      -4.116973249,      -4.366901048,      -1.817313843,      -3.227536286,      0.9329898399,      0.2172354475,      0.8813535042,                 0,                 0,                 0,      0.1698498126,      0.1239188816,       0.899232645,                 0,       4.057134847,      0.7697742324,     -0.6690165318,     -0.6584753367,     -0.4091950415,     -0.7807516348,      -1.043710285,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           9,      -7.295456518,      -4.084067547,      -4.315494245,      -1.821102524,      -3.190603426,      0.9329898399,      0.1919541684,      0.7029268468,                 0,                 0,                 0,      0.1246066301,      0.1174267603,      0.7191408142,                 0,       3.661951458,      0.6922387939,     -0.6893137742,     -0.6315418141,      -0.366404845,     -0.7920495534,        -1.0112303,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           9,      -7.279277955,        -4.0469799,      -4.269198243,      -1.801247048,      -3.122683413,      0.9329898399,      0.1715184638,      0.5071898125,                 0,                 0,                 0,     0.07249588103,       0.117563096,      0.5223399351,                 0,       2.957056642,      0.5923865089,     -0.6756452469,     -0.5948068349,     -0.3296205857,     -0.7737056275,     -0.9474613974,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,           9,      -7.236993134,      -4.007320707,      -4.223097394,      -1.760983011,      -3.033842362,      0.9329898399,       0.156333209,      0.2992277585,                 0,                 0,                 0,     0.01552487204,      0.1241989816,      0.3139298276,                 0,       1.914038356,       0.519236516,      -0.634155648,     -0.5505501957,     -0.2966677925,     -0.7309034483,     -0.8642930306,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           9,      -7.183819314,      -3.968107303,       -4.17501446,      -1.711504016,      -2.937676716,      0.9329898399,      0.1460908861,     0.08788971789,                 0,                 0,                 0,    -0.04159292829,      0.1361036078,      0.1026789046,                 0,      0.6016098624,      0.4380767648,     -0.5816560126,     -0.5025879665,     -0.2667077095,     -0.6762401278,     -0.7830268221,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,           9,      -7.125432679,      -3.930639563,      -4.126976987,      -1.655658667,      -2.841597671,      0.9329898399,      0.1402016317,     -0.1130584923,                 0,                 0,                 0,     -0.0925909435,      0.1512514229,    -0.09778408495,                 0,     -0.8063992618,      0.3033451097,     -0.5235223041,     -0.4530758269,     -0.2427817415,     -0.6128637101,     -0.7195257805,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,           9,      -7.061677756,      -3.894984611,      -4.080931263,      -1.590999427,      -2.775130635,      0.9329898399,      0.1377740718,     -0.2913829531,                 0,                 0,                 0,     -0.1329227104,      0.1674771433,     -0.2753854148,                 0,      -2.114933161,    0.009490793613,     -0.4585939409,     -0.4031885231,     -0.2265876445,     -0.5378960955,      -0.701053441,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,           9,      -6.995428115,      -3.860028918,      -4.037439763,      -1.520040607,       -2.74327437,      0.9329898399,      0.1379058665,     -0.4379163445,                 0,                 0,                 0,     -0.1592459658,      0.1829251262,     -0.4211023046,                 0,      -3.175472919,    0.006776421264,     -0.3905285433,     -0.3537184635,     -0.2180245279,     -0.4546061511,     -0.7199047814,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,           9,      -6.940573774,       -3.82796505,      -3.996003884,      -1.459527417,      -2.741528493,      0.9329898399,      0.1398751677,     -0.5465871342,                 0,                 0,                 0,     -0.1688404835,        0.19624283,     -0.5289719363,                 0,      -3.907678134,    0.004208370742,     -0.3358886149,     -0.3094014278,      -0.215367617,     -0.3821766901,     -0.7593144182,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
