"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         128,      -11.70833593,      -11.66849586,      -11.43046363,      -12.09100751,      -11.13628821
          0,           0,         129,       -11.7070121,      -11.66619585,      -11.41200382,      -12.02236326,      -11.13704632
          0,           0,         130,      -11.70649488,      -11.66720513,      -11.42474177,      -12.15871769,      -11.13576018
          0,           0,         131,      -11.71141302,      -11.67341572,      -11.43179495,      -12.22550943,      -11.13935878
          0,           0,         132,      -11.70334259,      -11.66352192,      -11.43383531,      -12.19795561,       -11.1312287
          0,           0,         133,      -11.70173229,      -11.65879362,      -11.41229454,      -12.07816113,       -11.1319732
          0,           0,         134,      -11.71174393,      -11.66984697,      -11.42416671,      -12.07348784,        -11.140782
          0,           0,         135,      -11.69577359,      -11.65455395,      -11.43198647,      -12.25896818,      -11.12398617
          0,           0,         136,      -11.71292882,      -11.67475288,      -11.41427796,      -12.30090574,      -11.14303245
          0,           0,         137,      -11.72104209,      -11.68399929,      -11.42624544,      -12.32100501,      -11.15000296
          0,           0,         138,      -11.70471629,      -11.66206865,      -11.43243995,      -12.16922939,      -11.13279843
          0,           0,         139,      -11.71387782,      -11.67303331,      -11.41408427,      -12.11869343,      -11.14401007
          0,           0,         140,      -11.71649964,      -11.67590874,      -11.42567933,       -12.1359864,      -11.14530059
          0,           0,         141,      -11.69856306,      -11.65807587,      -11.43257881,      -12.29844627,      -11.12677857
