Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
55,0.870245,2.61169,0.977817,0.979465,0.024235,0,0.979765,0.40197,-0.0628852,0,0.406859,0.824061,-0.392721,0.946931,1.12551,0.0278485,0,1.12585
56,0.881193,2.64058,0.963295,0.979456,0.0208668,0,0.979678,0.38654,-0.0632404,0,0.391679,0.838396,-0.360723,0.951433,1.11151,0.0236801,0,1.11176
57,0.885922,2.65307,0.957154,0.979476,0.017474,0,0.979632,0.37123,-0.0635401,0,0.376629,0.844576,-0.346929,0.95333,1.1056,0.019724,0,1.10578
58,0.868772,2.60775,0.979593,0.979497,0.0140232,0,0.979598,0.35604,-0.0637845,0,0.361708,0.822187,-0.396904,0.946378,1.12745,0.0161415,0,1.12757
59,0.82311,2.48702,1.0427,0.977434,0.0104555,0,0.97749,0.34099,-0.063973,0,0.346939,0.762642,-0.529817,0.926537,1.18749,0.0127024,0,1.18756
60,0.78122,2.37631,1.10617,0.973346,0.00675343,0,0.973369,0.32611,-0.0641046,0,0.332351,0.707967,-0.651859,0.906233,1.24593,0.00864473,0,1.24596
61,0.765665,2.33492,1.13015,0.970495,0.0029105,0,0.9705,0.3114,-0.0641783,0,0.317945,0.687943,-0.696556,0.89849,1.26752,0.00380127,0,1.26752
62,0.764927,2.33277,1.13056,0.969847,-0.00113222,0,0.969847,0.29687,-0.0641923,0,0.303731,0.687177,-0.698267,0.898356,1.26789,-0.00148017,0,1.2679
63,0.766684,2.3373,1.12721,0.969764,-0.00544162,0,0.969779,0.28255,-0.0641446,0,0.28974,0.689586,-0.692888,0.89944,1.26488,-0.0070976,0,1.2649
64,0.766557,2.33696,1.12738,0.969682,-0.0100697,0,0.969734,0.26845,-0.0640329,0,0.275981,0.68943,-0.693236,0.899385,1.26498,-0.0131363,0,1.26505
65,0.765354,2.33376,1.12926,0.969383,-0.0150643,0,0.9695,0.25457,-0.0638541,0,0.262456,0.687883,-0.69669,0.898777,1.26658,-0.0196827,0,1.26673
66,0.76447,2.33141,1.13069,0.969135,-0.0204865,0,0.969351,0.24094,-0.0636054,0,0.249194,0.686736,-0.69925,0.898317,1.26772,-0.0267983,0,1.268
67,0.764075,2.33034,1.13123,0.968865,-0.0263926,0,0.969224,0.22757,-0.0632833,0,0.236205,0.686246,-0.700343,0.89814,1.26802,-0.0345418,0,1.26849
68,0.76406,2.3303,1.13124,0.968654,-0.0328469,0,0.969211,0.21447,-0.0628843,0,0.223499,0.68623,-0.700379,0.898137,1.26777,-0.04299,0,1.2685
69,0.764484,2.33142,1.13056,0.968463,-0.0399213,0,0.969286,0.20166,-0.0624047,0,0.211095,0.686778,-0.699156,0.898356,1.26682,-0.0522199,0,1.2679
70,0.765781,2.33491,1.12867,0.968464,-0.0476943,0,0.969637,0.18914,-0.0618402,0,0.198993,0.688413,-0.695507,0.898968,1.26467,-0.0622819,0,1.26621
71,0.768269,2.34159,1.12503,0.968653,-0.056256,0,0.970285,0.17693,-0.0611868,0,0.187211,0.691553,-0.688498,0.900144,1.26083,-0.0732244,0,1.26295
