Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
77,0.556447,0,1.6037,-0,6.06241e-08,0,0,0,0,0,0,0.713933,0.9,0.0264368,1.14909,0.64148,-0.755225,7.82116e-05,-1.24121e-05,5.2045e-07,7.9192e-05,1.1311,0,0,0,0,1.71983
78,0.627647,0,1.81106,-0,6.06815e-08,0,0,0,0,0,0,0.732462,0.9,0.0264107,1.16069,0.724425,-0.589335,-0.0001963,8.6833e-05,4.75252e-07,0.000214649,1.13252,0,0,0,0,3.59669
79,0.652101,0,1.88236,-0,6.07009e-08,0,0,0,0,0,0,0.751268,0.9,0.026164,1.17264,0.752943,-0.532299,-0.000343514,0.000214683,5.35787e-06,0.000405116,1.133,0,0,0,0,4.71159
80,0.66943,0,1.93295,-0,6.07146e-08,0,0,0,0,0,0,0.770236,0.9,0.0256873,1.18487,0.773179,-0.491827,-0.000379644,0.000328394,1.16556e-05,0.000502104,1.13334,0,0,0,0,5.32674
81,0.695631,0,2.00932,-0,6.07309e-08,0,0,0,0,0,0,0.789249,0.9,0.0249843,1.1973,0.803728,-0.430729,-0.000338243,0.00039622,1.61928e-05,0.000521211,1.13375,0,0,0,0,5.53717
82,0.722848,0,2.08859,-0,6.07453e-08,0,0,0,0,0,0,0.808192,0.9,0.0240726,1.20986,0.835437,-0.36731,-0.000256181,0.000422595,1.74201e-05,0.000494489,1.13411,0,0,0,0,5.49868
83,0.746495,0,2.1574,-0,6.07554e-08,0,0,0,0,0,0,0.826953,0.9,0.0229813,1.22245,0.862959,-0.312268,-0.000169996,0.000427072,1.61003e-05,0.000459944,1.13436,0,0,0,0,5.38908
84,0.76678,0,2.21633,-0,6.07618e-08,0,0,0,0,0,0,0.845426,0.9,0.0217481,1.235,0.886533,-0.26512,-9.67709e-05,0.000424317,1.35834e-05,0.000435424,1.13451,0,0,0,0,5.31253
85,0.784318,0,2.26722,-0,6.07659e-08,0,0,0,0,0,0,0.863508,0.9,0.0204134,1.24742,0.906889,-0.224407,-3.78657e-05,0.000419672,1.06549e-05,0.000421511,1.13462,0,0,0,0,5.28373
86,0.799662,0,2.3117,-0,6.07683e-08,0,0,0,0,0,0,0.881106,0.9,0.0190153,1.25965,0.924681,-0.188823,8.9007e-06,0.000415682,7.761e-06,0.000415849,1.13468,0,0,0,0,5.2903
87,0.813283,0,2.35115,-0,6.07697e-08,0,0,0,0,0,0,0.898133,0.9,0.0175856,1.27159,0.940459,-0.157266,4.56934e-05,0.000412945,5.15176e-06,0.000415497,1.13471,0,0,0,0,5.32253
88,0.825528,0,2.38659,-0,6.07705e-08,0,0,0,0,0,0,0.914511,0.9,0.0161477,1.2832,0.954635,-0.128914,7.40337e-05,0.000411388,2.96382e-06,0.000418007,1.13473,0,0,0,0,5.3679
89,0.836613,0,2.41866,-0,6.0771e-08,0,0,0,0,0,0,0.930174,0.9,0.0147168,1.29439,0.967464,-0.103257,9.50828e-05,0.000410825,1.24983e-06,0.000421687,1.13474,0,0,0,0,5.40911
90,0.846705,0,2.44786,-0,6.07715e-08,0,0,0,0,0,0,0.945064,0.9,0.0133011,1.30511,0.979145,-0.0798948,0.000109542,0.000410265,1.50291e-08,0.000424637,1.13475,0,0,0,0,5.44204
91,0.808988,0,2.32546,-0,6.051e-08,0,0,0,0,0,0,0.845426,0.9,-0.0217481,1.235,0.930186,-0.177813,0.00117765,3.95245e-05,8.20966e-05,0.00118117,1.12827,0,0,0,0,9.01766
